Lat,Lng,Type,Price,Sqft,Bhk
21.12750433,79.05485988, Land/Plot,18000000,13333,0
21.12682945,79.05786762, Apartment,30000000,3000,4
21.12490049,79.10164833, Apartment,14500000,1600,4
21.12854017,79.09651995, Apartment,20000000,1500,4
21.12806017,79.09507155, Apartment,20000000,1800,4
21.15599427,79.07581329, Apartment,16000000,1500,3
21.15935778,79.06731606, Apartment,8000000,750,2
21.1527955,79.06589985, Land/Plot,50000000,2400,0
21.15119554,79.07328129, Land/Plot,60000000,3000,0
21.15540267,79.07028258, Apartment,7000000,1200,2
21.13750901,79.0816927, Apartment,30000000,3600,4
21.1325869,79.07924652, Apartment,20000000,1600,3
21.13586832,79.08345222, Apartment,12800000,1280,3
21.13278699,79.07928944, Apartment,8900000,1200,2
21.13282517,79.07928944, Land/Plot,3000000,1100,0
21.137608,79.06448364, Apartment,13000000,1500,3
21.13556704,79.05669451, Apartment,8700000,900,2
21.13782801,79.05744553, Apartment,12500000,1450,3
21.14159,79.0633893, Apartment,30000000,3000,4
21.18581083,79.08720732, Apartment,8000000,1800,3
21.18233049,79.08735752, Apartment,12500000,3300,3
21.18457072,79.09119844, Apartment,6500000,900,3
21.18589084,79.09100533, Apartment,3700000,700,2
21.11985686,79.05208111, Apartment,13000000,2300,3
21.1142938,79.05186653, Apartment,10500000,2200,3
21.11453394,79.06079292, Apartment,8900000,1600,3
21.11841609,79.0554285, Apartment,13500000,1571,3
21.14699238,79.05465603, Apartment,32500000,2050,3
21.14143034,79.04997826, Apartment,6500000,850,2
21.14471157,79.05156612, Apartment,9000000,950,2
21.13958961,79.05251026, Apartment,12500000,1525,3
21.14499167,79.05384064, Apartment,15500000,1850,3
21.15891822,79.10529613, Apartment,3000000,365,4
21.15564075,79.10572529, Apartment,5000000,950,2
21.15540068,79.10830021, Apartment,40000000,1952,10
21.15820148,79.10761356, Apartment,4000000,1100,3
21.15552072,79.1141367, Apartment,3800000,700,1
21.15696113,79.11237717, Apartment,4000000,780,2
21.14455531,79.08182144, Apartment,12500000,1600,3
21.1461567,79.08285141, Apartment,8400000,614,3
21.1455965,79.08576965, Apartment,7500000,1480,3
21.14291551,79.08555508, Apartment,12500000,1480,3
21.12009587,79.04349804, Apartment,7500000,1250,2
21.11789469,79.04448509, Apartment,6500000,875,2
21.11869512,79.04538631, Apartment,3000000,400,1
21.11669403,79.04525757, Apartment,3500000,650,2
21.11509314,79.04349804, Apartment,6500000,800,2
21.13358626,79.07139301, Apartment,39000000,3549,4
21.13494685,79.07323837, Apartment,13500000,1057,2
21.13558712,79.07508373, Apartment,16000000,1770,3
21.13478669,79.07585621, Apartment,90000000,5000,4
21.13690759,79.07817364, Apartment,9500000,1060,3
21.1637263,79.07740116, Apartment,17500000,1980,4
21.16008539,79.07559872, Apartment,35000000,3825,4
21.16156577,79.07379627, Apartment,13600000,1600,3
21.16080558,79.07783031, Apartment,27600000,3250,4
21.16386324,79.07877445, Apartment,12500000,2100,4
21.15299748,79.10248518, Apartment,20000000,800,2
21.15535819,79.1010046, Apartment,30000000,1800,4
21.15431788,79.09935236, Apartment,16000000,1050,4
21.15307751,79.1008544, Apartment,12500000,1600,3
21.15097685,79.10158396, Apartment,30200000,1120,4
21.15151816,79.13018703, Apartment,16000000,2914,3
21.15031777,79.13216114, Apartment,10000000,1350,3
21.15003768,79.1390276, Apartment,5500000,808,1
21.14887729,79.13619518, Apartment,16500000,1500,3
21.14997503,79.1324079, Land/Plot,21600000,1800,0
21.17020652,79.05469894, Apartment,7500000,1425,3
21.17220688,79.05186653, Apartment,6800000,1425,3
21.1705263,79.04753208, Apartment,5100000,1051,2
21.16884597,79.04444218, Apartment,7100000,1300,2
21.17088636,79.04079437, Apartment,5000000,980,2
21.16940608,79.03851986, Apartment,4000000,880,2
21.16888557,79.03933525, Apartment,22500000,2000,4
21.1635644,79.03654575, Apartment,4300000,1450,3
21.16680513,79.03409958, Apartment,3500000,880,2
21.16880556,79.03199673, Apartment,3800000,1300,2
