"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Maulana Abul Kalam Azad High School & Junior College","4.3","25","","","","","https://www.google.com/maps/place/Maulana+Abul+Kalam+Azad+High+School+%26+Junior+College/data=!4m7!3m6!1s0x3bd4c0cc878ae025:0x1691536511dd59d9!8m2!3d21.1529042!4d79.1068249!16s%2Fg%2F1q660h5yl!19sChIJJeCKh8zA1DsR2VndEWVTkRY?authuser=0&hl=en&rclk=1"
"Javaharlal Nehru Medical College Of Nagpur Maharashtra","3.9","7","093258 5782","Government college  5384+2XW","093258 57829","","https://www.google.com/maps/place/Javaharlal+Nehru+Medical+College+Of+Nagpur+Maharashtra/data=!4m7!3m6!1s0x3bd4c05340000001:0x3d9de1f34db4fe26!8m2!3d21.1651014!4d79.0574436!16s%2Fg%2F11dxc1l7bt!19sChIJAQAAQFPA1DsRJv60TfPhnT0?authuser=0&hl=en&rclk=1"
"Auditorium Nagpur Veterinary College","5.0","4","","","","http://www.nvcnagpur.net.in/","https://www.google.com/maps/place/Auditorium+Nagpur+Veterinary+College/data=!4m7!3m6!1s0x3bd4c04b57531481:0x429d945a95413cf2!8m2!3d21.1651995!4d79.0472095!16s%2Fg%2F11crzv_h20!19sChIJgRRTV0vA1DsR8jxBlVqUnUI?authuser=0&hl=en&rclk=1"
"Bajaj college","","","","","","","https://www.google.com/maps/place/Bajaj+college/data=!4m7!3m6!1s0x3bd4c100218a0edb:0x7b6b8f0e7e9d5685!8m2!3d21.175235!4d79.0858017!16s%2Fg%2F11w2lxtm_6!19sChIJ2w6KIQDB1DsRhVadfg6Pa3s?authuser=0&hl=en&rclk=1"
"Sakya College - BSc, B.Com, BA XI/XII(Science Commerce & Arts)","4.5","2","095951 9241","Junior college Bus Stop Near Sakya Nagri Nara Rd","095951 92419","","https://www.google.com/maps/place/Sakya+College+-+BSc,+B.Com,+BA+XI%2FXII%28Science+Commerce+%26+Arts%29/data=!4m7!3m6!1s0x3bd4c18872a9bc65:0xadd73c937e5638d4!8m2!3d21.2025674!4d79.0909837!16s%2Fg%2F11hg48yb89!19sChIJZbypcojB1DsR1DhWfpM8160?authuser=0&hl=en&rclk=1"
"Shri Vasant B.Ed. College","3.5","6","095078 3045","Teachers college  44JF+PH","9095078 30452","http://vasantbedcollege.org/","https://www.google.com/maps/place/Shri+Vasant+B.Ed.+College/data=!4m7!3m6!1s0x3bd4b8a174000003:0x2a03b37fd5fe8604!8m2!3d21.1317928!4d79.1239855!16s%2Fg%2F11c5_xpjp9!19sChIJAwAAdKG41DsRBIb-1X-zAyo?authuser=0&hl=en&rclk=1"
"UG Boys Hostel Nagpur Veterinary college Nagpur","5.0","9","","University 572 MG NagarOpen","","","https://www.google.com/maps/place/UG+Boys+Hostel+Nagpur+Veterinary+college+Nagpur/data=!4m7!3m6!1s0x3bd4c1e4055b67cd:0x4887326db1f76a9c!8m2!3d21.1655787!4d79.0486806!16s%2Fg%2F11rcycwqfn!19sChIJzWdbBeTB1DsRnGr3sW0yh0g?authuser=0&hl=en&rclk=1"
"Scholars Academy College of Law and Professional Studies","4.9","311","","","","http://www.scholarsaacademys.com/","https://www.google.com/maps/place/Scholars+Academy+College+of+Law+and+Professional+Studies/data=!4m7!3m6!1s0x3bd4c05d851729f7:0xcd4ae52b810cdabb!8m2!3d21.1437057!4d79.0567736!16s%2Fg%2F1q6b8zt51!19sChIJ9ykXhV3A1DsRu9oMgSvlSs0?authuser=0&hl=en&rclk=1"
"Shri sachinanand shikshan sanstha's College of pharmacy","4.5","2","","","","","https://www.google.com/maps/place/Shri+sachinanand+shikshan+sanstha%27s+College+of+pharmacy/data=!4m7!3m6!1s0x3bd4c0e3bc16602d:0x115cf0e0917a708a!8m2!3d21.1638897!4d79.0796258!16s%2Fg%2F11dxj0h6x1!19sChIJLWAWvOPA1DsRinB6keDwXBE?authuser=0&hl=en&rclk=1"
"National Fire Safety and Environmental Engineering college","5.0","9","090285 4956","College Plot no 322 behind A K Gandhi four wheeler show roomOpen ⋅ Closes 7:30 pm","090285 49562","http://www.nfsee.in/","https://www.google.com/maps/place/National+Fire+Safety+and+Environmental+Engineering+college/data=!4m7!3m6!1s0x3bd4c1a1ca4847d1:0xada615e5f92e2cdc!8m2!3d21.1356324!4d79.0983583!16s%2Fg%2F11t0pgf2cv!19sChIJ0UdIyqHB1DsR3Cwu-eUVpq0?authuser=0&hl=en&rclk=1"
