"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Nagpur Municipal Corporation","3.5","410","","","","http://nmcnagpur.gov.in/","https://www.google.com/maps/place/Nagpur+Municipal+Corporation/data=!4m7!3m6!1s0x3bd4c11dec716715:0xf8ab0d392b84eaff!8m2!3d21.1541405!4d79.0770623!16s%2Fg%2F1thx71ln!19sChIJFWdx7B3B1DsR_-qEKzkNq_g?authuser=0&hl=en&rclk=1"
"Divisional Commissioner","4.0","41","712 253 2123","Government office  Old Secretary Building Samaj Kalyan Office RdClosed ⋅ Opens 10 am","0712 253 2123","","https://www.google.com/maps/place/Divisional+Commissioner/data=!4m7!3m6!1s0x3bd4c0f74e6a06b5:0x790f80f5bb7eb945!8m2!3d21.1547501!4d79.0696666!16s%2Fg%2F1v5_7wy1!19sChIJtQZqTvfA1DsRRbl-u_WAD3k?authuser=0&hl=en&rclk=1"
"District Employment Exchange, Nagpur","3.8","56","800 120 8040","Government office  206/5 Samaj Kalyan Office RdClosed ⋅ Opens 9:45 am","1800 120 8040","","https://www.google.com/maps/place/District+Employment+Exchange,+Nagpur/data=!4m7!3m6!1s0x3bd4c0f3c0000001:0x447746ff1d27f8a9!8m2!3d21.1556253!4d79.0705495!16s%2Fg%2F1tlqnfxq!19sChIJAQAAwPPA1DsRqfgnHf9Gd0Q?authuser=0&hl=en&rclk=1"
"New Adminstrative Building Zilla Parishad Nagpur","4.2","45","","","","","https://www.google.com/maps/place/New+Adminstrative+Building+Zilla+Parishad+Nagpur/data=!4m7!3m6!1s0x3bd4c0f9e22d1ef3:0x9dab35176851a176!8m2!3d21.1557643!4d79.0690474!16s%2Fg%2F11c3189k70!19sChIJ8x4t4vnA1DsRdqFRaBc1q50?authuser=0&hl=en&rclk=1"
"Govt. Office(Samajeek Vanikaran Vibhag)","5.0","1","","","","","https://www.google.com/maps/place/Govt.+Office%28Samajeek+Vanikaran+Vibhag%29/data=!4m7!3m6!1s0x3bd4c08b3a1cdf43:0x47d0e3c45fc2c188!8m2!3d21.1429682!4d79.0683782!16s%2Fg%2F1hjhcvdnt!19sChIJQ98cOovA1DsRiMHCX8Tj0Ec?authuser=0&hl=en&rclk=1"
"Jilha Karyalaya Nagpur","4.0","28","","","","","https://www.google.com/maps/place/Jilha+Karyalaya+Nagpur/data=!4m7!3m6!1s0x3bd4c0f031032c05:0x2db710ce52ce6595!8m2!3d21.1535383!4d79.0748782!16s%2Fg%2F11cpfrzpx0!19sChIJBSwDMfDA1DsRlWXOUs4Qty0?authuser=0&hl=en&rclk=1"
"Directorate of Insurance Regional Office Nagpur","4.5","2","","","","","https://www.google.com/maps/place/Directorate+of+Insurance+Regional+Office+Nagpur/data=!4m7!3m6!1s0x3bd4c116cb9a32c9:0xad64930d4493cd25!8m2!3d21.1550286!4d79.0699423!16s%2Fg%2F11pkrmd9wd!19sChIJyTKayxbB1DsRJc2TRA2TZK0?authuser=0&hl=en&rclk=1"
"Nagpur office","5.0","2","","Office of Vital Records 43V6+RMP office CB construction coOpen","","","https://www.google.com/maps/place/Nagpur+office/data=!4m7!3m6!1s0x3bd4c1fa12f216c1:0xcfad5e2297d7c89c!8m2!3d21.1445974!4d79.0617128!16s%2Fg%2F11hzqc12bp!19sChIJwRbyEvrB1DsRnMjXlyJerc8?authuser=0&hl=en&rclk=1"
"District Treasury Office Nagpur","3.9","16","712 256 4998","Government office  Collector Office CompoundClosed ⋅ Opens 9:45 am","0712 256 4998","http://nagpurtreasury.blogspot.in/","https://www.google.com/maps/place/District+Treasury+Office+Nagpur/data=!4m7!3m6!1s0x3bd4c0f0637bb3a5:0x1c83bf535148beaa!8m2!3d21.1549501!4d79.0733001!16s%2Fg%2F11b5pht3r5!19sChIJpbN7Y_DA1DsRqr5IUVO_gxw?authuser=0&hl=en&rclk=1"
"Directorate of Marketing & Inspection , Branch Head Office (DMI, BHO) Ministry of Agriculture & Farmers Welfare, Nagpur","4.6","7","","","","","https://www.google.com/maps/place/Directorate+of+Marketing+%26+Inspection+,+Branch+Head+Office+%28DMI,+BHO%29+Ministry+of+Agriculture+%26+Farmers+Welfare,+Nagpur/data=!4m7!3m6!1s0x3bd4c0fac4c46e1f:0xa3e08de3118d7266!8m2!3d21.1581062!4d79.0748728!16s%2Fg%2F11g8b4vc3x!19sChIJH27ExPrA1DsRZnKNEeON4KM?authuser=0&hl=en&rclk=1"
"Office of District Collector, Nagpur","3.9","101","712 256 2972","Government office  534F+2R3 Ravindra Nath Tagore MargClosed ⋅ Opens 9:45 am","0712 256 2972","https://nagpur.gov.in/","https://www.google.com/maps/place/Office+of+District+Collector,+Nagpur/data=!4m7!3m6!1s0x3bd4c0f064862641:0xc7cca3198929cac2!8m2!3d21.1550233!4d79.0745405!16s%2Fg%2F1v8x0n1p!19sChIJQSaGZPDA1DsRwsopiRmjzMc?authuser=0&hl=en&rclk=1"
"Nagpur Central Division 2","1.0","1","712 258 1219","","2 1","http://cpwd.gov.in/","https://www.google.com/maps/place/Nagpur+Central+Division+2/data=!4m7!3m6!1s0x3bd4c0e17ef24a17:0x9e6c30b16fee7acc!8m2!3d21.1649468!4d79.0816631!16s%2Fg%2F11c5srm2vr!19sChIJF0ryfuHA1DsRzHrub7EwbJ4?authuser=0&hl=en&rclk=1"
"Samaj Kalyan Office","3.9","452","","","","","https://www.google.com/maps/place/Samaj+Kalyan+Office/data=!4m7!3m6!1s0x3bd4c0f0a1083cdb:0xddcfa4e644c0d935!8m2!3d21.1554008!4d79.0711598!16s%2Fg%2F1hhnprx47!19sChIJ2zwIofDA1DsRNdnAROakz90?authuser=0&hl=en&rclk=1"
"Mineral Exploration and Consultancy Limited (Formerly Mineral Exploration Corporation Limited","4.3","364","712 251 0310","Corporate office  DrBabasaheb Ambedkar BhawanClosed ⋅ Opens 9:30 am","0712 251 0310","https://www.mecl.co.in/Careers.aspx","https://www.google.com/maps/place/Mineral+Exploration+and+Consultancy+Limited+%28Formerly+Mineral+Exploration+Corporation+Limited/data=!4m7!3m6!1s0x3bd4c04d33ec9a29:0xe95f33820608d0e8!8m2!3d21.1661837!4d79.0515829!16s%2Fg%2F1vnngw54!19sChIJKZrsM03A1DsR6NAIBoIzX-k?authuser=0&hl=en&rclk=1"
"Office of the Deputy Inspector General - Prisons - Nagpur Central Jail","5.0","1","","","","","https://www.google.com/maps/place/Office+of+the+Deputy+Inspector+General+-+Prisons+-+Nagpur+Central+Jail/data=!4m7!3m6!1s0x3bd4c1f55ca6a669:0xf48fb73ad8c5b3d0!8m2!3d21.1267316!4d79.0742946!16s%2Fg%2F11s462h1db!19sChIJaaamXPXB1DsR0LPF2Dq3j_Q?authuser=0&hl=en&rclk=1"
"Pwd Office Nagpur","4.4","35","712 256 0409","District government office  5346+3R8 Opp GPOClosed ⋅ Opens 10 am","0712 256 0409","","https://www.google.com/maps/place/Pwd+Office+Nagpur/data=!4m7!3m6!1s0x3bd4c057e6f42707:0xaeb6f1ae52f37bb!8m2!3d21.1551663!4d79.0620873!16s%2Fg%2F11bzz0f4lf!19sChIJByf05lfA1DsRuzcv5Rpv6wo?authuser=0&hl=en&rclk=1"
"Geological Survey of India (Central Region) Nagpur","4.4","43","712 251 1673","Government office  53C2+7QH GSI Complex Near TV TowerClosed ⋅ Opens 9:30 am","0712 251 1673","","https://www.google.com/maps/place/Geological+Survey+of+India+%28Central+Region%29+Nagpur/data=!4m7!3m6!1s0x3bd4c1b275385c6f:0x28d1a5f74324e0e6!8m2!3d21.17069!4d79.0519813!16s%2Fg%2F12645kfvn!19sChIJb1w4dbLB1DsR5uAkQ_el0Sg?authuser=0&hl=en&rclk=1"
"Nagpur Metro Rail Project Office","4.4","153","712 255 4217","Government office  Metro House Bunglow No: 28/2Closed ⋅ Opens 10:30 am","0712 255 4217","","https://www.google.com/maps/place/Nagpur+Metro+Rail+Project+Office/data=!4m7!3m6!1s0x3bd4c0fba5052be3:0x57e3023fd55db517!8m2!3d21.159688!4d79.0722057!16s%2Fg%2F11ckvm53d0!19sChIJ4ysFpfvA1DsRF7Vd1T8C41c?authuser=0&hl=en&rclk=1"
"BOCW Office Nagpur","5.0","3","","","","http://www.mahabocw.in/","https://www.google.com/maps/place/BOCW+Office+Nagpur/data=!4m7!3m6!1s0x3bd4c1545977ba1d:0x45bc7d4431a3bad9!8m2!3d21.1301929!4d79.1038736!16s%2Fg%2F11pyfq93bj!19sChIJHbp3WVTB1DsR2bqjMUR9vEU?authuser=0&hl=en&rclk=1"
"Tahsildar ( Nagpur City )","3.1","7","712 256 1975","Government office  533F+555 Akashwani Square NearOpen","","https://nagpur.gov.in/tahsil/","https://www.google.com/maps/place/Tahsildar+%28+Nagpur+City+%29/data=!4m7!3m6!1s0x3bd4c0f3c0000001:0xaffa6f55359afb28!8m2!3d21.1528765!4d79.0729794!16s%2Fg%2F1tg_vk2s!19sChIJAQAAwPPA1DsRKPuaNVVv-q8?authuser=0&hl=en&rclk=1"
"Nagpur Tahsil Office","3.3","24","","","","https://nagpur.gov.in/divisions/tahsil-office/page/2/","https://www.google.com/maps/place/Nagpur+Tahsil+Office/data=!4m7!3m6!1s0x3bd4c0f0471ff417:0x6557484b78c73910!8m2!3d21.1539038!4d79.0742154!16s%2Fg%2F11c0vx1lxn!19sChIJF_QfR_DA1DsREDnHeEtIV2U?authuser=0&hl=en&rclk=1"
"City Survey Office Nagpur","2.6","47","","","","","https://www.google.com/maps/place/City+Survey+Office+Nagpur/data=!4m7!3m6!1s0x3bd4c0f9f53f93ef:0xa0f2182b4c055bd3!8m2!3d21.157011!4d79.0699997!16s%2Fg%2F1hjgvr2jh!19sChIJ75M_9fnA1DsR01sFTCsY8qA?authuser=0&hl=en&rclk=1"
"Central Public Works Department","4.2","5","","","","","https://www.google.com/maps/place/Central+Public+Works+Department/data=!4m7!3m6!1s0x3bd4c100939e1863:0x4bdbdfe6a9407b04!8m2!3d21.1710814!4d79.0657393!16s%2Fg%2F11f3xhphfc!19sChIJYxiekwDB1DsRBHtAqebf20s?authuser=0&hl=en&rclk=1"
"Deputy Director Office, Health Department","4.5","15","712 244 8799","Public health department  MA/15/1 S Ambazari RdClosed ⋅ Opens 10 am","0712 244 8799","","https://www.google.com/maps/place/Deputy+Director+Office,+Health+Department/data=!4m7!3m6!1s0x3bd4c086a2791253:0x79325ddc34633995!8m2!3d21.1275752!4d79.070393!16s%2Fg%2F11dxk4h5bb!19sChIJUxJ5oobA1DsRlTljNNxdMnk?authuser=0&hl=en&rclk=1"
"Office of The Deputy Chief Engineer (Construction), Central Railway, Ajni,Nagpur","4.3","20","","","","","https://www.google.com/maps/place/Office+of+The+Deputy+Chief+Engineer+%28Construction%29,+Central+Railway,+Ajni,Nagpur/data=!4m7!3m6!1s0x3bd4c149b5055ecb:0xae4924a990ac4570!8m2!3d21.1224492!4d79.0804616!16s%2Fg%2F11nnnf6pft!19sChIJy14FtUnB1DsRcEWskKkkSa4?authuser=0&hl=en&rclk=1"
"Van Bhawan","4.6","35","712 255 0670","State government office  5346+PC8 Walker's Road near PWD OfficeClosed ⋅ Opens 9:45 am","0712 255 0670","","https://www.google.com/maps/place/Van+Bhawan/data=!4m7!3m6!1s0x3bd4c0570da0d239:0x96576715ae84a8b2!8m2!3d21.1567912!4d79.0610786!16s%2Fg%2F1tcvgk17!19sChIJOdKgDVfA1DsRsqiErhVnV5Y?authuser=0&hl=en&rclk=1"
"District Sericulture office Nagpur","","","","","","","https://www.google.com/maps/place/District+Sericulture+office+Nagpur/data=!4m7!3m6!1s0x3bd4c7002b8e4985:0x357799a20b67ce0f!8m2!3d21.1256283!4d79.120435!16s%2Fg%2F11vqpddkwt!19sChIJhUmOKwDH1DsRD85nC6KZdzU?authuser=0&hl=en&rclk=1"
"Irrigation Department","4.2","44","","","","","https://www.google.com/maps/place/Irrigation+Department/data=!4m7!3m6!1s0x3bd4c09dcecedcff:0xe1b32705fefa6c7!8m2!3d21.123481!4d79.0803594!16s%2Fg%2F11g8ty296k!19sChIJ_9zOzp3A1DsRx6bvX3AyGw4?authuser=0&hl=en&rclk=1"
