Title,Rating,Reviews,Phone,Industry,Address,Website,Google Maps Link
Suretech Hospital,4.4,825,091122 2224,General hospital  13A Banerjee MargOpen,,https://shrcl.in/,https://www.google.com/maps/place/Suretech+Hospital/data=!4m7!3m6!1s0x3bd4c0c011f8b8d1:0xdc284dc34b997b53!8m2!3d21.1372876!4d79.0799918!16s%2Fg%2F1tlqnfxh!19sChIJ0bj4EcDA1DsRU3uZS8NNKNw?authuser=0&hl=en&rclk=1
SevenStar Hospital,4.6,"4,199",712 669 9822,General hospital  324 1 Great Nag Rd near Jagnade SquareOpen,,http://sevenstarhospitals.com/,https://www.google.com/maps/place/SevenStar+Hospital/data=!4m7!3m6!1s0x3bd4c756234caf99:0x6dad340a5c314afe!8m2!3d21.138992!4d79.1201063!16s%2Fg%2F11f2wckv8r!19sChIJma9MI1bH1DsR_koxXAo0rW0?authuser=0&hl=en&rclk=1
VIMS Hospital,4.2,763,712 350 5800,General hospital  Kamptee RdOpen,,https://vimsnagpur.in/,https://www.google.com/maps/place/VIMS+Hospital/data=!4m7!3m6!1s0x3bd4c0e6f2d8f421:0xbb8c994d09b8b5ec!8m2!3d21.1576698!4d79.0824816!16s%2Fg%2F11c1wybbcp!19sChIJIfTY8ubA1DsR7LW4CU2ZjLs?authuser=0&hl=en&rclk=1
Mure Memorial Hospital,3.7,59,712 252 2370,General hospital  Mure Memorial Hospital Maharajbagh RdOpen,,http://www.murememorialhospital.org/,https://www.google.com/maps/place/Mure+Memorial+Hospital/data=!4m7!3m6!1s0x3bd4c0ed3ab57cdd:0xe7a78d7d6b91b243!8m2!3d21.1450106!4d79.0779973!16s%2Fg%2F1th22812!19sChIJ3Xy1Ou3A1DsRQ7KRa32Np-c?authuser=0&hl=en&rclk=1
Integrity Superspeciality Hospital,4.9,"1,304",098019 8010,Hospital  Plot No 05 Vinoba Nagar Samasya Nivaran Co Operative Housing Society layoutOpen,,https://integrityhospital.in/,https://www.google.com/maps/place/Integrity+Superspeciality+Hospital/data=!4m7!3m6!1s0x3bd4b973839fdc9d:0x59792a4e92ce7770!8m2!3d21.1211143!4d79.1362368!16s%2Fg%2F11twfg1w0f!19sChIJndyfg3O51DsRcHfOkk4qeVk?authuser=0&hl=en&rclk=1
"CARE Hospitals, Nagpur",4.6,"2,654",,Hospital  3 Farmland RdOpen,,https://www.carehospitals.com/hospitals/nagpur/,"https://www.google.com/maps/place/CARE+Hospitals,+Nagpur/data=!4m7!3m6!1s0x3bd4c1205274cc13:0xeac5a74bb47df23a!8m2!3d21.138545!4d79.0791634!16s%2Fg%2F1tfkp64l!19sChIJE8x0UiDB1DsROvJ9tEunxeo?authuser=0&hl=en&rclk=1"
Super Speciality Hospital,4.1,203,712 275 0123,Hospital  44F2+HXP Hanuman Nagar Manewada Road Near Rashtra Sant Tukdoji beside Cancer Hospital,0712 275 0123,http://www.sshnagpur.com/,https://www.google.com/maps/place/Super+Speciality+Hospital/data=!4m7!3m6!1s0x3bd4bf4ec9119fc7:0x8c34eac1de28dbc9!8m2!3d21.1239573!4d79.1024418!16s%2Fg%2F1tf801cs!19sChIJx58RyU6_1DsRydso3sHqNIw?authuser=0&hl=en&rclk=1
Arihant Multispeciality Hospital | Best Hospital in Nagpur | Top Hospital in Nagpur | Leading Hospital in Nagpur,4.8,"3,681",712 665 6666,Hospital  Baidyanath Sqr opp capitol heights opp VRmallOpen,,https://arihanthospitals.co.in/,https://www.google.com/maps/place/Arihant+Multispeciality+Hospital+%7C+Best+Hospital+in+Nagpur+%7C+Top+Hospital+in+Nagpur+%7C+Leading+Hospital+in+Nagpur/data=!4m7!3m6!1s0x3bd4c12cfa00890f:0xcb8dacd947af930c!8m2!3d21.1346121!4d79.0968072!16s%2Fg%2F11mhpxhwj4!19sChIJD4kA-izB1DsRDJOvR9msjcs?authuser=0&hl=en&rclk=1
Varunam Superspeciality Hospital,4.7,200,074477 9900,General hospital  Aditya Enclave 20-A Central Bazar Road Opposite Somalwar High SchoolOpen,,https://www.varunamhospital.com/,https://www.google.com/maps/place/Varunam+Superspeciality+Hospital/data=!4m7!3m6!1s0x3bd4c1e1341f9e15:0x9951d32a46957a77!8m2!3d21.1336848!4d79.07459!16s%2Fg%2F12633pgdb!19sChIJFZ4fNOHB1DsRd3qVRirTUZk?authuser=0&hl=en&rclk=1
Meditrina Institute of Medical Sciences - Best Multispeciality hospital in Nagpur,4.1,"1,198",712 666 9666,General hospital  Meditrina institute of medical science 278 Central Bazar RoadOpen,,https://meditrinainstitute.com/,https://www.google.com/maps/place/Meditrina+Institute+of+Medical+Sciences+-+Best+Multispeciality+hospital+in+Nagpur/data=!4m7!3m6!1s0x3bd4c091223e1f99:0x2cc9fc7f5fad3d0d!8m2!3d21.1330432!4d79.0712206!16s%2Fg%2F1tgwqqmy!19sChIJmR8-IpHA1DsRDT2tX3_8ySw?authuser=0&hl=en&rclk=1
NIRAMAY HOSPITAL,4.6,315,075075 2762,Hospital  Niramay Hospital 518 Medical College RdOpen,,https://niramayhospital.com/,https://www.google.com/maps/place/NIRAMAY+HOSPITAL/data=!4m7!3m6!1s0x3bd4c0afd66d5793:0x702aa03a5c6c9922!8m2!3d21.133999!4d79.1008222!16s%2Fg%2F11bcdyfk49!19sChIJk1dt1q_A1DsRIplsXDqgKnA?authuser=0&hl=en&rclk=1
Midas Multispeciality Hospital Pvt. Ltd.,3.9,"1,382",712 243 0511,General hospital  4th Floor Midas Heights 7 Central Bazar RoadOpen,,https://www.midashospital.com/,https://www.google.com/maps/place/Midas+Multispeciality+Hospital+Pvt.+Ltd./data=!4m7!3m6!1s0x3bd4c1d3c1a4b0c7:0x52e8a7c9b8eb6462!8m2!3d21.1339738!4d79.0755831!16s%2Fg%2F1v3kfz9b!19sChIJx7CkwdPB1DsRYmTruMmn6FI?authuser=0&hl=en&rclk=1
Shatayu Hospital,3.9,118,093700 8547,General hospital  26 Wardha RdOpen,,http://www.shatayuhospital.com/,https://www.google.com/maps/place/Shatayu+Hospital/data=!4m7!3m6!1s0x3bd4c09071e7a549:0xcd5ba170ff1f46c8!8m2!3d21.1332108!4d79.077926!16s%2Fg%2F11cm_hcz4z!19sChIJSaXncZDA1DsRyEYf_3ChW80?authuser=0&hl=en&rclk=1
Getwell Hospital and Research Institute,4.1,593,712 663 2200,General hospital ,20 1,http://getwellhospitals.com/,https://www.google.com/maps/place/Getwell+Hospital+and+Research+Institute/data=!4m7!3m6!1s0x3bd4c0911ba69d8f:0x5bc57de2f6820547!8m2!3d21.1361052!4d79.0795349!16s%2Fg%2F1tg5sj5q!19sChIJj52mG5HA1DsRRwWC9uJ9xVs?authuser=0&hl=en&rclk=1
Ultracare Hospitals,5.0,12,800 889 4190,Hospital  KDK CampusOpen,,,https://www.google.com/maps/place/Ultracare+Hospitals/data=!4m7!3m6!1s0x3bd4c1828f34c8df:0xc752240fabd4c198!8m2!3d21.139336!4d79.1284499!16s%2Fg%2F11t0l_40gp!19sChIJ38g0j4LB1DsRmMHUqw8kUsc?authuser=0&hl=en&rclk=1
NewEra Hospital,4.0,1,080559 9779,General hospital Plot No 204 &,205080559 97799,http://newerahospitals.com/,https://www.google.com/maps/place/NewEra+Hospital/data=!4m7!3m6!1s0x3bd4c715d0000001:0x36ad0bd2fa6130a2!8m2!3d21.1531827!4d79.1343579!16s%2Fg%2F11vx7g93r0!19sChIJAQAA0BXH1DsRojBh-tILrTY?authuser=0&hl=en&rclk=1
Orange City Hospital & Research Institute,4.7,"5,559",712 663 4800,General hospital  19 Khamla Road Veer Sawarkar Square Opposite to Jupiter CollegeOpen,,http://www.ochri.com/,https://www.google.com/maps/place/Orange+City+Hospital+%26+Research+Institute/data=!4m7!3m6!1s0x3bd4bf78bb933bcf:0x7911878f235475a!8m2!3d21.1128464!4d79.0654763!16s%2Fg%2F1tf7w56f!19sChIJzzuTu3i_1DsRWkc18ngYkQc?authuser=0&hl=en&rclk=1
NEUROSPINE HOSPITAL AND REVIVE CRITICAL CARE (NHRCC),4.8,209,090217 2133,General hospital  3rd Floor Panchvati Tower Wardha Rd beside The Hitvada Head OfficeOpen,,https://www.nhrcc.in/,https://www.google.com/maps/place/NEUROSPINE+HOSPITAL+AND+REVIVE+CRITICAL+CARE+%28NHRCC%29/data=!4m7!3m6!1s0x3bd4c1d28cd38bf1:0x810e10b112fd530a!8m2!3d21.1330808!4d79.0778579!16s%2Fg%2F11lrpk455h!19sChIJ8YvTjNLB1DsRClP9ErEQDoE?authuser=0&hl=en&rclk=1
Wanjari Hospital,3.1,51,712 270 5505,General hospital  44F9+J6C Umred Rd beside भारत मेडिकल आणि सर्जिकलOpen,,,https://www.google.com/maps/place/Wanjari+Hospital/data=!4m7!3m6!1s0x3bd4bff5abd93d17:0x2f018d70bea31a0!8m2!3d21.1240527!4d79.1180168!16s%2Fg%2F1tcy2rq5!19sChIJFz3Zq_W_1DsRoDHqC9cY8AI?authuser=0&hl=en&rclk=1
Swasthyam Superspeciality Hospital,4.5,633,086008 8844,General hospital  Swasthyam Hospital 97/98 Wardha RdOpen,,https://swasthyamhospital.com/,https://www.google.com/maps/place/Swasthyam+Superspeciality+Hospital/data=!4m7!3m6!1s0x3bd4bf0c3ad8c14d:0x2ea7909c870f8ef3!8m2!3d21.1149629!4d79.0696019!16s%2Fg%2F11qmgz0680!19sChIJTcHYOgy_1DsR844Ph5yQpy4?authuser=0&hl=en&rclk=1
"Wockhardt Super Specialty Hospital, Nagpur",4.8,"8,580",086056 0444,General hospital  Daga College 1643 Ambazari Rd beside Lady AmritbaiOpen,,https://www.wockhardthospitals.com/nagpur-multispeciality/,"https://www.google.com/maps/place/Wockhardt+Super+Specialty+Hospital,+Nagpur/data=!4m7!3m6!1s0x3bd4c062371add07:0x799e386a8892d428!8m2!3d21.134687!4d79.0585745!16s%2Fg%2F11c26wxgwt!19sChIJB90aN2LA1DsRKNSSiGo4nnk?authuser=0&hl=en&rclk=1"
Gananam Hospital,4.7,9,712 244 3939,General hospital  1 Nandanvan Main Rd,0712 244 3939,https://gananamhospitalnagpur.com/,https://www.google.com/maps/place/Gananam+Hospital/data=!4m7!3m6!1s0x3bd4c75067177a95:0x860b8b13dafe76dc!8m2!3d21.1328471!4d79.1197013!16s%2Fg%2F11h9rxhd_8!19sChIJlXoXZ1DH1DsR3Hb-2hOLC4Y?authuser=0&hl=en&rclk=1
Shree Hospital & Critical Care Center,4.1,16,712 270 2215,Private hospital  44G8+9JF Umred Rd,0712 270 2215,http://www.shccc.co.in/,https://www.google.com/maps/place/Shree+Hospital+%26+Critical+Care+Center/data=!4m7!3m6!1s0x3bd4c7565e4db15f:0xf426f0e4c2e2f785!8m2!3d21.1259324!4d79.1165357!16s%2Fg%2F11rrjr01zc!19sChIJX7FNXlbH1DsRhffiwuTwJvQ?authuser=0&hl=en&rclk=1
Dik Hospital,3.0,3,,,,,https://www.google.com/maps/place/Dik+Hospital/data=!4m7!3m6!1s0x3bd4c114ee7672b5:0x684a59700907cd22!8m2!3d21.1449788!4d79.0834374!16s%2Fg%2F11gmz6mh65!19sChIJtXJ27hTB1DsRIs0HCXBZSmg?authuser=0&hl=en&rclk=1
ESI Hospital,3.4,91,,General hospital  44G4+WGH Somwari Road Manewada Rd opp Nurses HostelOpen,,http://www.esic.nic.in/,https://www.google.com/maps/place/ESI+Hospital/data=!4m7!3m6!1s0x3bd4c0ab9a2c3f6d:0x5cdd4653a69bf584!8m2!3d21.1273011!4d79.1063621!16s%2Fg%2F1tjcmxr7!19sChIJbT8smqvA1DsRhPWbplNG3Vw?authuser=0&hl=en&rclk=1
Nagpur City Hospital,4.3,15,084211 1578,Private hospital  542X+8JH Bhandara Rd CA Rd RK BhokClosed ⋅ Opens 7 am Sat,084211 15781,,https://www.google.com/maps/place/Nagpur+City+Hospital/data=!4m7!3m6!1s0x3bd4c70c9e0aabc5:0xeb15191e352b5a7f!8m2!3d21.150817!4d79.1490961!16s%2Fg%2F1q65x1ygb!19sChIJxasKngzH1DsRf1orNR4ZFes?authuser=0&hl=en&rclk=1
Sawarkar Multispeciality Hospital And Mahendras Health Retreat,3.0,2,093731 0929,General hospital  44V5+RF5 Khadi Gramudyog Bhavan First Floor Gandhi Sagar Tilak Putla MahalOpen,,,https://www.google.com/maps/place/Sawarkar+Multispeciality+Hospital+And+Mahendras+Health+Retreat/data=!4m7!3m6!1s0x3bd4c0b53bc6b07f:0x8d59a7eb9af17d88!8m2!3d21.1445236!4d79.1087416!16s%2Fg%2F11gdk_08x5!19sChIJf7DGO7XA1DsRiH3xmuunWY0?authuser=0&hl=en&rclk=1
Sartaj Hospital Phukatnagar,5.0,1,,,,,https://www.google.com/maps/place/Sartaj+Hospital+Phukatnagar/data=!4m7!3m6!1s0x3bd4c72087cfe0e9:0x7248db71e521df0c!8m2!3d21.1705471!4d79.1293143!16s%2Fg%2F11f0ky04fv!19sChIJ6eDPhyDH1DsRDN8h5XHbSHI?authuser=0&hl=en&rclk=1
K.M.G Hospital,4.2,25,,,,,https://www.google.com/maps/place/K.M.G+Hospital/data=!4m7!3m6!1s0x3bd4bf55d3f36709:0x5c214e204256e8ca!8m2!3d21.1198678!4d79.1045441!16s%2Fg%2F1q675ddbr!19sChIJCWfz01W_1DsRyuhWQiBOIVw?authuser=0&hl=en&rclk=1
Super Hospital,2.7,9,,,,,https://www.google.com/maps/place/Super+Hospital/data=!4m7!3m6!1s0x3bd4c0977d953c75:0x2a74b9604278f272!8m2!3d21.1328851!4d79.084034!16s%2Fg%2F1q69q16bc!19sChIJdTyVfZfA1DsRcvJ4QmC5dCo?authuser=0&hl=en&rclk=1
Lata Mangeshkar Hospital,4.1,672,712 253 0347,General hospital  YMCA Complex Maharajbagh RdClosed ⋅ Opens 10 am Sat,0712 253 0347,http://lmhbuldi.com/,https://www.google.com/maps/place/Lata+Mangeshkar+Hospital/data=!4m7!3m6!1s0x3bd4c0ecb65aaaab:0x53391e41f3f78fa9!8m2!3d21.1450255!4d79.0801726!16s%2Fg%2F1th26vv5!19sChIJq6patuzA1DsRqY_380EeOVM?authuser=0&hl=en&rclk=1
"Max Super Speciality Hospital, Nagpur",4.1,"2,064",712 712 0000,Hospital  232 Mankapur Koradi RdOpen,,https://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-nagpur,"https://www.google.com/maps/place/Max+Super+Speciality+Hospital,+Nagpur/data=!4m7!3m6!1s0x3bd4c113d847dcbf:0x7fd062d82b6be17c!8m2!3d21.1857573!4d79.0795349!16s%2Fg%2F11cn17yg58!19sChIJv9xH2BPB1DsRfOFrK9hi0H8?authuser=0&hl=en&rclk=1"
Seva Multispeciality Hospital,5.0,3,093732 1577,Private hospital ,66 B,,https://www.google.com/maps/place/Seva+Multispeciality+Hospital/data=!4m7!3m6!1s0x3bd4c12a09178f29:0x3dfa0ee072cdfa2e!8m2!3d21.1331385!4d79.0838469!16s%2Fg%2F11t5lgy0c3!19sChIJKY8XCSrB1DsRLvrNcuAO-j0?authuser=0&hl=en&rclk=1
Hari Om Medical Kharbi Road,4.5,4,,,,,https://www.google.com/maps/place/Hari+Om+Medical+Kharbi+Road/data=!4m7!3m6!1s0x3bd4c75fabaaaaab:0xde543d5d528f87fd!8m2!3d21.1269315!4d79.1295894!16s%2Fg%2F11hczd8m3b!19sChIJq6qqq1_H1DsR_YePUl09VN4?authuser=0&hl=en&rclk=1
YES Hospital,4.0,84,,General hospital  Plot no 1 & 1A Dighori Flyover SquareOpen,,http://yeshospital.in/,https://www.google.com/maps/place/YES+Hospital/data=!4m7!3m6!1s0x3bd4b8a2cffccb3d:0x532e119e09e24037!8m2!3d21.1130401!4d79.1301913!16s%2Fg%2F11c6_wx4pc!19sChIJPcv8z6K41DsRN0DiCZ4RLlM?authuser=0&hl=en&rclk=1
Kunal Hospital,3.0,241,093264 1935,General hospital  Koradi Road Mankapur ChowkOpen,,http://www.kunalhospital.com/,https://www.google.com/maps/place/Kunal+Hospital/data=!4m7!3m6!1s0x3bd4c113daff952f:0x2f8bbad48d60bf16!8m2!3d21.1835933!4d79.0791999!16s%2Fg%2F1w0h5zpt!19sChIJL5X_2hPB1DsRFr9gjdS6iy8?authuser=0&hl=en&rclk=1
Hutatma Smarak Chikitsa Kendra,4.0,1,094225 3594,General hospital 43VX+R2CClosed ⋅ Opens 9 am Sat,094225 35947,,https://www.google.com/maps/place/Hutatma+Smarak+Chikitsa+Kendra/data=!4m7!3m6!1s0x3bd4c1ae05c7ea09:0x44d31749c2869634!8m2!3d21.1445682!4d79.0975206!16s%2Fg%2F11gy636r9t!19sChIJCerHBa7B1DsRNJaGwkkX00Q?authuser=0&hl=en&rclk=1
Suryodaya Hospital multispeciality hospital,2.3,20,086000 0250,Hospital  plot no27Open,,,https://www.google.com/maps/place/Suryodaya+Hospital+multispeciality+hospital/data=!4m7!3m6!1s0x3bd4c7d1281c8e2b:0xcfa03573d25e5455!8m2!3d21.1240874!4d79.117002!16s%2Fg%2F11gjtp9ts1!19sChIJK44cKNHH1DsRVVRe0nM1oM8?authuser=0&hl=en&rclk=1
Rughwani Child Care Centre And Multi-Speciality Hospital - Children Hospital / Multispecialty / 24*7 hospital in Nagpur,4.4,127,712 264 3192,,7 hospital in Nagpur 4,,https://www.google.com/maps/place/Rughwani+Child+Care+Centre+And+Multi-Speciality+Hospital+-+Children+Hospital+%2F+Multispecialty+%2F+24*7+hospital+in+Nagpur/data=!4m7!3m6!1s0x3bd4c122bfffffff:0xdfa3f190bf8a357!8m2!3d21.1824437!4d79.0929839!16s%2Fg%2F1tk8m135!19sChIJ____vyLB1DsRV6P4Cxk_-g0?authuser=0&hl=en&rclk=1
Vivek Hospital,3.0,2,074474 4146,General hospital plot no 133 e W High Ct Rd,074474 41468,,https://www.google.com/maps/place/Vivek+Hospital/data=!4m7!3m6!1s0x3bd4c063b82179f5:0x3804bba8bb4febe4!8m2!3d21.135814!4d79.060955!16s%2Fg%2F11t6jt0myj!19sChIJ9XkhuGPA1DsR5OtPu6i7BDg?authuser=0&hl=en&rclk=1
Dr. G.M. Taori Central India Institute of Medical Sciences,3.7,657,712 668 7777,General hospital  88 2Open,,http://www.ciimsnagpur.com/,https://www.google.com/maps/place/Dr.+G.M.+Taori+Central+India+Institute+of+Medical+Sciences/data=!4m7!3m6!1s0x3bd4c07cff438401:0x51e88d23b267616a!8m2!3d21.1285562!4d79.0612479!16s%2Fg%2F1vhkh_p5!19sChIJAYRD_3zA1DsRamFnsiON6FE?authuser=0&hl=en&rclk=1
Shubham Nursing Home,4.7,49,098230 9220,General hospital  1st floor Katol Road Chhaoni RdClosed ⋅ Opens 8 am Sat,098230 92208,http://www.shubhamnursinghome.co.in/,https://www.google.com/maps/place/Shubham+Nursing+Home/data=!4m7!3m6!1s0x3bd4c1011a9d5707:0x33aac531bb3abbae!8m2!3d21.1691963!4d79.0775755!16s%2Fg%2F1tj4x4vn!19sChIJB1edGgHB1DsRrrs6uzHFqjM?authuser=0&hl=en&rclk=1
Junankar Hospital Nagpur,4.8,288,077750 3997,General hospital JP Chambers Ambardekar Sankul S Ambazari Rd near Dominos PizzaOpen ⋅ Closes 12 am,077750 39977,http://www.junankarhospital.com/,https://www.google.com/maps/place/Junankar+Hospital+Nagpur/data=!4m7!3m6!1s0x3bd4c0c011f8b8d1:0x5eecca541316b28!8m2!3d21.1229492!4d79.0570904!16s%2Fg%2F1v2gc677!19sChIJ0bj4EcDA1DsRKGsxQaXM7gU?authuser=0&hl=en&rclk=1
Keshav Hospital,3.8,170,073873 9111,General hospital  no 2 117 Manewada RdOpen,,http://www.keshvahospitals.com/,https://www.google.com/maps/place/Keshav+Hospital/data=!4m7!3m6!1s0x3bd4bf4c0102179b:0xd2083ca7a5c7a570!8m2!3d21.1052371!4d79.1041148!16s%2Fg%2F1hdyx30ws!19sChIJmxcCAUy_1DsRcKXHpac8CNI?authuser=0&hl=en&rclk=1
Felix MEDICOS,,,,,,,https://www.google.com/maps/place/Felix+MEDICOS/data=!4m7!3m6!1s0x3bd4c700704b6151:0x54d2c79720b0038c!8m2!3d21.1450681!4d79.1220998!16s%2Fg%2F11vwgkg18d!19sChIJUWFLcADH1DsRjAOwIJfH0lQ?authuser=0&hl=en&rclk=1
Shridha Hospital and Research Institute,4.7,41,093735 1058,Hospital  C/O Wardha Rd next to Bank of MaharashtraOpen,,,https://www.google.com/maps/place/Shridha+Hospital+and+Research+Institute/data=!4m7!3m6!1s0x3bd4bf0046f83901:0x4d20542b7b4b797a!8m2!3d21.1174934!4d79.0724625!16s%2Fg%2F11vkb441w_!19sChIJATn4RgC_1DsRenlLeytUIE0?authuser=0&hl=en&rclk=1
आंबटकर नर्सिंग होम ॲन्ड पाईल्स हॉस्पिटल,,,,,,,https://www.google.com/maps/place/%E0%A4%86%E0%A4%82%E0%A4%AC%E0%A4%9F%E0%A4%95%E0%A4%B0+%E0%A4%A8%E0%A4%B0%E0%A5%8D%E0%A4%B8%E0%A4%BF%E0%A4%82%E0%A4%97+%E0%A4%B9%E0%A5%8B%E0%A4%AE+%E0%A5%B2%E0%A4%A8%E0%A5%8D%E0%A4%A1+%E0%A4%AA%E0%A4%BE%E0%A4%88%E0%A4%B2%E0%A5%8D%E0%A4%B8+%E0%A4%B9%E0%A5%89%E0%A4%B8%E0%A5%8D%E0%A4%AA%E0%A4%BF%E0%A4%9F%E0%A4%B2/data=!4m7!3m6!1s0x3bd4c0aa0a4d6c23:0xb2b907720da2a9b9!8m2!3d21.1227896!4d79.1052301!16s%2Fg%2F11ssxgy9fh!19sChIJI2xNCqrA1DsRuamiDXIHubI?authuser=0&hl=en&rclk=1
