"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Flexistays","3.9","518","","","","","https://www.google.com/maps/place/Flexistays/data=!4m10!3m9!1s0x3bd4c09069ddaab9:0x267488286680cbfd!5m2!4m1!1i1!8m2!3d21.1340202!4d79.077673!16s%2Fg%2F11c0qxsyrd!19sChIJuardaZDA1DsR_cuAZiiIdCY?authuser=0&hl=en&rclk=1"
"HOTEL KK RESIDENCY / KK SERVICE APARTMENTS","3.7","650","","","","","https://www.google.com/maps/place/HOTEL+KK+RESIDENCY+%2F+KK+SERVICE+APARTMENTS/data=!4m10!3m9!1s0x3bd4c12cd8a1b3bb:0x504fbe8882830882!5m2!4m1!1i1!8m2!3d21.1794946!4d79.1093059!16s%2Fg%2F11c3175m6z!19sChIJu7Oh2CzB1DsRggiDgoi-T1A?authuser=0&hl=en&rclk=1"
"Anand Mahal Hotel","3.5","888","","","","","https://www.google.com/maps/place/Anand+Mahal+Hotel/data=!4m10!3m9!1s0x3bd4c0eb59b06fa1:0x5a4bd7244857e7f3!5m2!4m1!1i1!8m2!3d21.145389!4d79.0817137!16s%2Fg%2F11b6x6t_cm!19sChIJoW-wWevA1DsR8-dXSCTXS1o?authuser=0&hl=en&rclk=1"
"Raj Mahal Hotel","3.9","879","","","","","https://www.google.com/maps/place/Raj+Mahal+Hotel/data=!4m10!3m9!1s0x3bd4c0c011f8b8d1:0x99e11d21ac4a1bae!5m2!4m1!1i1!8m2!3d21.145572!4d79.0878942!16s%2Fg%2F1vlz8tsz!19sChIJ0bj4EcDA1DsRrhtKrCEd4Zk?authuser=0&hl=en&rclk=1"
"HOTEL SKY LARK","3.4","10","","","","","https://www.google.com/maps/place/HOTEL+SKY+LARK/data=!4m10!3m9!1s0x3bd4c0c5e606da65:0xd413d12cac1e0f97!5m2!4m1!1i1!8m2!3d21.1524681!4d79.0972871!16s%2Fg%2F11tcbw_sq4!19sChIJZdoG5sXA1DsRlw8erCzRE9Q?authuser=0&hl=en&rclk=1"
"Hotel Jaisons Nagpur","2.7","254","","","","","https://www.google.com/maps/place/Hotel+Jaisons+Nagpur/data=!4m10!3m9!1s0x3bd4c0c011f8b8d1:0x3eeab1bd8ce05162!5m2!4m1!1i1!8m2!3d21.1444837!4d79.0859279!16s%2Fg%2F1tdr1rx_!19sChIJ0bj4EcDA1DsRYlHgjL2x6j4?authuser=0&hl=en&rclk=1"
"Star Flexi Stay | Economic Accommodation","4.0","64","","","","","https://www.google.com/maps/place/Star+Flexi+Stay+%7C+Economic+Accommodation/data=!4m10!3m9!1s0x3bd4c124dd136bfd:0x690505f6fea85a9a!5m2!4m1!1i1!8m2!3d21.1448802!4d79.0843809!16s%2Fg%2F11h4kbfdjr!19sChIJ_WsT3STB1DsRmlqo_vYFBWk?authuser=0&hl=en&rclk=1"
"OYO Hotel Hybrid","4.6","11","","","","","https://www.google.com/maps/place/OYO+Hotel+Hybrid/data=!4m10!3m9!1s0x3bd4bf004ddd000f:0x843018f2745bc64c!5m2!4m1!1i1!8m2!3d21.0610338!4d79.0753018!16s%2Fg%2F11vwv2vw5h!19sChIJDwDdTQC_1DsRTMZbdPIYMIQ?authuser=0&hl=en&rclk=1"
"OYO Hotel Airport Imperial","4.4","18","","","","","https://www.google.com/maps/place/OYO+Hotel+Airport+Imperial/data=!4m10!3m9!1s0x3bd4b9abea684795:0x4e3824fd90612ce7!5m2!4m1!1i1!8m2!3d21.0858173!4d79.0644612!16s%2Fg%2F11y3qqpgvj!19sChIJlUdo6qu51DsR5yxhkP0kOE4?authuser=0&hl=en&rclk=1"
"Hotel Gopi","3.6","176","","","","","https://www.google.com/maps/place/Hotel+Gopi/data=!4m10!3m9!1s0x3bd4c0c011f8b8d1:0x4adff7c3d00d9202!5m2!4m1!1i1!8m2!3d21.1442945!4d79.0828335!16s%2Fg%2F1tgnkjqq!19sChIJ0bj4EcDA1DsRApIN0MP330o?authuser=0&hl=en&rclk=1"
"SPOT ON Hotel Jd Sons","2.6","476","","","","","https://www.google.com/maps/place/SPOT+ON+Hotel+Jd+Sons/data=!4m10!3m9!1s0x3bd4c19cf292ed45:0xac83f9635d752d2d!5m2!4m1!1i1!8m2!3d21.1527312!4d79.096969!16s%2Fg%2F11h8lrspcy!19sChIJRe2S8pzB1DsRLS11XWP5g6w?authuser=0&hl=en&rclk=1"
"Hotel JK Lions - Koradi, Nagpur","3.6","261","","","","","https://www.google.com/maps/place/Hotel+JK+Lions+-+Koradi,+Nagpur/data=!4m10!3m9!1s0x3bd4c34b592603c1:0x58aed36e41eb2ee!5m2!4m1!1i1!8m2!3d21.2489258!4d79.0843686!16s%2Fg%2F11h_9p7v0r!19sChIJwQMmWUvD1DsR7rIe5DbtigU?authuser=0&hl=en&rclk=1"
"Hotel Space Inn","4.7","178","","","","","https://www.google.com/maps/place/Hotel+Space+Inn/data=!4m10!3m9!1s0x3bd4c107eb1f5a57:0x41727c809ff81d19!5m2!4m1!1i1!8m2!3d21.1895625!4d79.1034375!16s%2Fg%2F11sw13xxcr!19sChIJV1of6wfB1DsRGR34n4B8ckE?authuser=0&hl=en&rclk=1"
"Hotel Pritam","3.8","720","","","","","https://www.google.com/maps/place/Hotel+Pritam/data=!4m10!3m9!1s0x3bd4c0cb8daaaaab:0x6aa2d4c29fcaa9c0!5m2!4m1!1i1!8m2!3d21.1507633!4d79.1041475!16s%2Fg%2F1tqpxq4x!19sChIJq6qqjcvA1DsRwKnKn8LUomo?authuser=0&hl=en&rclk=1"
"SPOT ON Hotel Surya","3.8","27","","","","","https://www.google.com/maps/place/SPOT+ON+Hotel+Surya/data=!4m10!3m9!1s0x3bd4cf0fb12f8a5d:0x566bb900eaafb44c!5m2!4m1!1i1!8m2!3d21.2554133!4d79.2403851!16s%2Fg%2F11s5xll0k2!19sChIJXYovsQ_P1DsRTLSv6gC5a1Y?authuser=0&hl=en&rclk=1"
"SPOT ON Hotel Sky Villa","3.7","3","","","","","https://www.google.com/maps/place/SPOT+ON+Hotel+Sky+Villa/data=!4m10!3m9!1s0x3bd4eb8c7c44ab65:0xaa5fd822c5452a89!5m2!4m1!1i1!8m2!3d21.1417645!4d78.9513124!16s%2Fg%2F11y44t5sr6!19sChIJZatEfIzr1DsRiSpFxSLYX6o?authuser=0&hl=en&rclk=1"
"Super Hotel O 820564 YUVA INN","3.6","132","","","820564 YUVA INN 3","","https://www.google.com/maps/place/Super+Hotel+O+820564+YUVA+INN/data=!4m10!3m9!1s0x3bd4bf38ad0d3a21:0x5cb10945b4bf014f!5m2!4m1!1i1!8m2!3d21.0847977!4d79.0876152!16s%2Fg%2F11fr6smt78!19sChIJIToNrTi_1DsRTwG_tEUJsVw?authuser=0&hl=en&rclk=1"
"FabHotel New Shraddha Inn","4.7","33","","","","","https://www.google.com/maps/place/FabHotel+New+Shraddha+Inn/data=!4m10!3m9!1s0x3bd4bfe374e07f6d:0xbab7b3bfacc4352d!5m2!4m1!1i1!8m2!3d21.087519!4d79.068192!16s%2Fg%2F11w438wrnp!19sChIJbX_gdOO_1DsRLTXErL-zt7o?authuser=0&hl=en&rclk=1"
