"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Manufacturing Industries Around Nagpur","3.0","1","712 224 0757","Manufacturer 130Open","","","https://www.google.com/maps/place/Manufacturing+Industries+Around+Nagpur/data=!4m7!3m6!1s0x3bd4c07bd7c7f657:0x92b7afb758219d30!8m2!3d21.1254172!4d79.0566147!16s%2Fg%2F11j1shy384!19sChIJV_bH13vA1DsRMJ0hWLevt5I?authuser=0&hl=en&rclk=1"
"Nirmal Chemical Industries","4.8","16","","Chemical Manufacturer","14 Ganesh Nagar","","https://www.google.com/maps/place/Nirmal+Chemical+Industries/data=!4m7!3m6!1s0x3bd4c751a592d08b:0x459bead334e85416!8m2!3d21.1227908!4d79.1201174!16s%2Fg%2F11j2xmdcfd!19sChIJi9CSpVHH1DsRFlToNNPqm0U?authuser=0&hl=en&rclk=1"
"IQRA Industries","4.7","28","093253 7723","Steel fabricator Bada Taj Road Shop No","9 Near Sutgirni MSEB Office","http://www.iqraindustries.co.in/","https://www.google.com/maps/place/IQRA+Industries/data=!4m7!3m6!1s0x3bd4b8a6f2460d65:0xc5cca79dd6059c78!8m2!3d21.1196301!4d79.1243192!16s%2Fg%2F1q66546fw!19sChIJZQ1G8qa41DsReJwF1p2nzMU?authuser=0&hl=en&rclk=1"
"Salasar Alloy & Steel Industries Private Limited","4.1","20","","","","http://www.salasarsteels.com/","https://www.google.com/maps/place/Salasar+Alloy+%26+Steel+Industries+Private+Limited/data=!4m7!3m6!1s0x3bd4c737b0fd6b97:0x4fae5683d8bc83c9!8m2!3d21.1486132!4d79.1171924!16s%2Fg%2F11b7hdsc34!19sChIJl2v9sDfH1DsRyYO82INWrk8?authuser=0&hl=en&rclk=1"
"Aashirwad Industries","4.6","16","","Manufacturer Main Rd opposite Royal BakeryClosed ⋅ Opens 10 am","080 4860 7701","","https://www.google.com/maps/place/Aashirwad+Industries/data=!4m7!3m6!1s0x3bd4c0eaae846f6b:0xac79c2bee46a7566!8m2!3d21.1452224!4d79.0867712!16s%2Fg%2F11byp6m2ym!19sChIJa2-ErurA1DsRZnVq5L7Ceaw?authuser=0&hl=en&rclk=1"
"Vishwakarma Industries","5.0","15","099609 2790","Bakery equipment House No 437 Ganjipeth Fire Brigade RdClosed ⋅ Opens 10 am","099609 27908","","https://www.google.com/maps/place/Vishwakarma+Industries/data=!4m7!3m6!1s0x3bd4c18ff4cc3d7f:0x3ea198540f763398!8m2!3d21.1489462!4d79.1019688!16s%2Fg%2F11h3cpc_dx!19sChIJfz3M9I_B1DsRmDN2D1SYoT4?authuser=0&hl=en&rclk=1"
"Malhar Industries","5.0","13","099602 5713","Chemical Manufacturer Plot No 125 Shivajinagar ShivajinagarClosed ⋅ Opens 10 am","099602 57139","http://www.malharindustries.com/","https://www.google.com/maps/place/Malhar+Industries/data=!4m7!3m6!1s0x3bd4c06665000001:0x7252773d8fb7c36a!8m2!3d21.135221!4d79.0564223!16s%2Fg%2F1tjs3d6h!19sChIJAQAAZWbA1DsRasO3jz13UnI?authuser=0&hl=en&rclk=1"
"Vora Steel Industries","4.6","9","712 276 3308","Metal industry suppliers 164B 169 Bhandara RdClosed ⋅ Opens 10 am","0712 276 3308","","https://www.google.com/maps/place/Vora+Steel+Industries/data=!4m7!3m6!1s0x3bd4c7395496be81:0x78d6dd18efe0be53!8m2!3d21.1554954!4d79.1308347!16s%2Fg%2F1v3dql56!19sChIJgb6WVDnH1DsRU77g7xjd1ng?authuser=0&hl=en&rclk=1"
"Kabra Industries","5.0","1","094231 0571","Manufacturer Kh no 689/1 Bhandara Road Near Swapnil Dhaba Gram Wadoda Kampte","094231 05716","http://kabraindustries.com/","https://www.google.com/maps/place/Kabra+Industries/data=!4m7!3m6!1s0x3bd4c0c011f8b8d7:0x8d38cfd04618fa5e!8m2!3d21.1458004!4d79.0881547!16s%2Fg%2F11csrgphhv!19sChIJ17j4EcDA1DsRXvoYRtDPOI0?authuser=0&hl=en&rclk=1"
"SARDA INDUSTRIES (CHAINLINK | BARBED WIRE | BINDING WIRE | WIRE NAILS | PERFORATED SHEETS)","4.4","7","094221 0467","Manufacturer 40 Pritam Complex Bhandara RdClosed ⋅ Opens 9 am","094221 04679","http://www.sardaindustries.in/","https://www.google.com/maps/place/SARDA+INDUSTRIES+%28CHAINLINK+%7C+BARBED+WIRE+%7C+BINDING+WIRE+%7C+WIRE+NAILS+%7C+PERFORATED+SHEETS%29/data=!4m7!3m6!1s0x3bd4c7f432e815c3:0xb190e54708e86650!8m2!3d21.1534838!4d79.1300084!16s%2Fg%2F11fd6m63m8!19sChIJwxXoMvTH1DsRUGboCEflkLE?authuser=0&hl=en&rclk=1"
