"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Persistent Systems Limited","4.5","1,553","712 669 2000","Software company  Gargi-Maitreyi Plot No","8 and 9","http://www.persistent.com/","https://www.google.com/maps/place/Persistent+Systems+Limited/data=!4m7!3m6!1s0x3bd4c075d6bd4685:0xe4e9d4ac53bcd26e!8m2!3d21.1213056!4d79.0477138!16s%2Fg%2F124yfw5xj!19sChIJhUa91nXA1DsRbtK8U6zU6eQ?authuser=0&hl=en&rclk=1"
"Xceller IT Services","4.4","117","093267 4488","Software company 13/1 Diglin Industries IT Park RdClosed ⋅ Opens 9:30 am","093267 44884","http://www.xceller.com/","https://www.google.com/maps/place/Xceller+IT+Services/data=!4m7!3m6!1s0x3bd4c07671017899:0x2cbfd7b43417b86c!8m2!3d21.1208114!4d79.0476501!16s%2Fg%2F11b6bbmd6d!19sChIJmXgBcXbA1DsRbLgXNLTXvyw?authuser=0&hl=en&rclk=1"
"GrowNixt Technologies Pvt. Ltd.","4.9","74","","","","","https://www.google.com/maps/place/GrowNixt+Technologies+Pvt.+Ltd./data=!4m7!3m6!1s0x3bd4c1c0f429746b:0xc1c2e0e67b9b7029!8m2!3d21.1170121!4d79.0466085!16s%2Fg%2F11h00cz6s1!19sChIJa3Qp9MDB1DsRKXCbe-bgwsE?authuser=0&hl=en&rclk=1"
"Callisto IT Solutions - Best Software Development , Web Application Development and Training & IT InternshipCompany","4.5","196","070572 0542","Software company  4 - Shivshakti App Bhagwan Nagar RdClosed ⋅ Opens 9:30 am","070572 05423","http://www.callistoitsolutions.com/","https://www.google.com/maps/place/Callisto+IT+Solutions+-+Best+Software+Development+,+Web+Application+Development+and+Training+%26+IT+InternshipCompany/data=!4m7!3m6!1s0x3bd4bf5c70d1ef2f:0x924dafe09820653c!8m2!3d21.1137538!4d79.0924992!16s%2Fg%2F11cmstcxfw!19sChIJL-_RcFy_1DsRPGUgmOCvTZI?authuser=0&hl=en&rclk=1"
"Alacrity E-Commerce Solutions Pvt. Ltd., Nagpur","4.2","252","712 222 2353","Software company  Infotech Tower ITPark MIDC 104 S Ambazari RdClosed ⋅ Opens 2 pm","0712 222 2353","http://www.alacritysolutions.in/","https://www.google.com/maps/place/Alacrity+E-Commerce+Solutions+Pvt.+Ltd.,+Nagpur/data=!4m7!3m6!1s0x3bd4bf8a24000001:0x858378b9191e25ab!8m2!3d21.1214776!4d79.0488417!16s%2Fg%2F1v5k1gkc!19sChIJAQAAJIq_1DsRqyUeGbl4g4U?authuser=0&hl=en&rclk=1"
"PSK Technologies Pvt. Ltd.","4.6","457","099752 8830","Software company  lower ground floor Fortune Mall Buty Rd near Maharashtra bank near metro stationClosed ⋅ Opens 8 am","099752 88300","https://www.prashantkadhao.com/","https://www.google.com/maps/place/PSK+Technologies+Pvt.+Ltd./data=!4m7!3m6!1s0x3bd4c11d142e6ac9:0xbb23c4288c53121c!8m2!3d21.1407041!4d79.0815594!16s%2Fg%2F11b5wj72bk!19sChIJyWouFB3B1DsRHBJTjCjEI7s?authuser=0&hl=en&rclk=1"
"DIGITRON SOFTWARES AND TECHNOLOGY / Digital marketing /application development/ social media marketing","4.6","289","077092 6657","Software company  c/o 10A Kharbi Rd above SAI ENTERPRIESE beside CANARA ATMOpen","","https://digitronsoftwares.com/","https://www.google.com/maps/place/DIGITRON+SOFTWARES+AND+TECHNOLOGY+%2F+Digital+marketing+%2Fapplication+development%2F+social+media+marketing/data=!4m7!3m6!1s0x3bd4c7d17a003eb1:0x5935cf9713952ca7!8m2!3d21.1261222!4d79.1353013!16s%2Fg%2F11h5l_m9t1!19sChIJsT4AetHH1DsRpyyVE5fPNVk?authuser=0&hl=en&rclk=1"
"SISNOLABS Software solutions","4.8","39","077090 4857","Software company FNO: 102 Manish Mansion behind AJIT BAKERYOpen","","https://sisnolabs.com/","https://www.google.com/maps/place/SISNOLABS+Software+solutions/data=!4m7!3m6!1s0x3bd4bf9d418c94b5:0xef8981e6715b02b0!8m2!3d21.0914111!4d79.076994!16s%2Fg%2F119thh453!19sChIJtZSMQZ2_1DsRsAJbceaBie8?authuser=0&hl=en&rclk=1"
"Royals Webtech","4.6","164","087884 4794","Software company  4th floor A Wing Block No 8 Mangalwari Complex near Government PolytechnicClosed ⋅ Opens 10:30 am","087884 47944","https://www.royalswebtechpvtltd.com/","https://www.google.com/maps/place/Royals+Webtech/data=!4m7!3m6!1s0x3bd4bf7c7d9bda07:0x20aec29a6496f565!8m2!3d21.1650471!4d79.081357!16s%2Fg%2F11ghnydbyc!19sChIJB9qbfXy_1DsRZfWWZJrCriA?authuser=0&hl=en&rclk=1"
"VeerIT Solutions - Web Design, App Development and SEO Services Nagpur","4.0","47","083296 3126","Software company 5th floor Sadoday Complex Near Darodkar Chowk Central Ave above DCB Bank NagpurClosed ⋅ Opens 9 am","083296 31267","https://veerit.com/","https://www.google.com/maps/place/VeerIT+Solutions+-+Web+Design,+App+Development+and+SEO+Services+Nagpur/data=!4m7!3m6!1s0x3bd4c7351fe56d43:0xb4c488268f3e3ab0!8m2!3d21.149453!4d79.1111963!16s%2Fg%2F1tcw__5c!19sChIJQ23lHzXH1DsRsDo-jyaIxLQ?authuser=0&hl=en&rclk=1"
