"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Radisson Blu Hotel, Nagpur","4.3","25,290","","","","","https://www.google.com/maps/place/Radisson+Blu+Hotel,+Nagpur/data=!4m10!3m9!1s0x3bd4bf7bf6662669:0x2bd11894402740fb!5m2!4m1!1i2!8m2!3d21.1059361!4d79.0696657!16s%2Fg%2F11byz9dc5p!19sChIJaSZm9nu_1DsR-0AnQJQY0Ss?authuser=0&hl=en&rclk=1"
"Le Méridien Nagpur","4.3","7,897","","5-star hotelUpscale hotel with","2 restaurants","","https://www.google.com/maps/place/Le+M%C3%A9ridien+Nagpur/data=!4m10!3m9!1s0x3bd4c0e8ae04f11d:0x1d8e16d3782c49ae!5m2!4m1!1i2!8m2!3d21.0428284!4d79.0552352!16s%2Fg%2F11b7pyz772!19sChIJHfEErujA1DsRrkkseNMWjh0?authuser=0&hl=en&rclk=1"
"Anantara Hotel and Resort","4.0","389","","","","","https://www.google.com/maps/place/Anantara+Hotel+and+Resort/data=!4m10!3m9!1s0x3bd4f3c6a9728c65:0x5722c4e2119a8fc3!5m2!4m1!1i2!8m2!3d21.1379131!4d78.7618517!16s%2Fg%2F11j31_58wh!19sChIJZYxyqcbz1DsRw4-aEeLEIlc?authuser=0&hl=en&rclk=1"
"Hotel Centre Point","4.3","13,981","","","","","https://www.google.com/maps/place/Hotel+Centre+Point/data=!4m10!3m9!1s0x3bd4c0902e33f195:0x8064c2db2c7d6e49!5m2!4m1!1i2!8m2!3d21.1347899!4d79.0765465!16s%2Fg%2F11dfl7l_s4!19sChIJlfEzLpDA1DsRSW59LNvCZIA?authuser=0&hl=en&rclk=1"
"Tuli Imperial","4.4","229","","","","","https://www.google.com/maps/place/Tuli+Imperial/data=!4m10!3m9!1s0x3bd4c08f0abcdf47:0xa46406ec8a4e6cdc!5m2!4m1!1i2!8m2!3d21.1337311!4d79.0730002!16s%2Fg%2F1tgn_7t_!19sChIJR9-8Co_A1DsR3GxOiuwGZKQ?authuser=0&hl=en&rclk=1"
"Regenta Central Hotel & Convention Centre","4.1","3,271","","","","","https://www.google.com/maps/place/Regenta+Central+Hotel+%26+Convention+Centre/data=!4m10!3m9!1s0x3bd4c7ab11ba3647:0x43057e4cb0eb6be5!5m2!4m1!1i2!8m2!3d21.1396118!4d79.119802!16s%2Fg%2F11fj9hspmz!19sChIJRza6EavH1DsR5WvrsEx-BUM?authuser=0&hl=en&rclk=1"
"Orange Tree Hotels","4.5","479","","","","","https://www.google.com/maps/place/Orange+Tree+Hotels/data=!4m10!3m9!1s0x3bd4c1007ae19fa3:0x5085bb3a821944a2!5m2!4m1!1i2!8m2!3d21.1520832!4d79.098827!16s%2Fg%2F11h8rx8m91!19sChIJo5_hegDB1DsRokQZgjq7hVA?authuser=0&hl=en&rclk=1"
"ENRISE by Sayaji","4.5","161","","","","","https://www.google.com/maps/place/ENRISE+by+Sayaji/data=!4m10!3m9!1s0x3bd4c10068bc50af:0xdcb4a4c363b2547b!5m2!4m1!1i2!8m2!3d21.1268067!4d79.0635555!16s%2Fg%2F11vygtqqpq!19sChIJr1C8aADB1DsRe1SyY8OktNw?authuser=0&hl=en&rclk=1"
"Hotel Tuli International,Nagpur","3.9","199","","","","","https://www.google.com/maps/place/Hotel+Tuli+International,Nagpur/data=!4m10!3m9!1s0x3bd4c1e52110e0ff:0x83c0c1f2e464cf56!5m2!4m1!1i2!8m2!3d21.1582606!4d79.0797732!16s%2Fg%2F11l6dbrt2s!19sChIJ_-AQIeXB1DsRVs9k5PLBwIM?authuser=0&hl=en&rclk=1"
"Ginger Nagpur, Airport Road","4.2","93","","","","","https://www.google.com/maps/place/Ginger+Nagpur,+Airport+Road/data=!4m10!3m9!1s0x3bd4bf76ed8c8499:0x9d2d3d5464208c66!5m2!4m1!1i2!8m2!3d21.1040901!4d79.0670527!16s%2Fg%2F11vwwxrxxg!19sChIJmYSM7Xa_1DsRZowgZFQ9LZ0?authuser=0&hl=en&rclk=1"
