"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"VR Nagpur","4.4","19,424","712 691 7888","Shopping mall Energetic shopping hub with a food courtClosed ⋅ Opens 11 am","0712 691 7888  On","","https://www.google.com/maps/place/VR+Nagpur/data=!4m7!3m6!1s0x3bd4c172fe26f1d3:0xb93dfb1374ff0968!8m2!3d21.1330092!4d79.0967265!16s%2Fg%2F11h_0vhhqz!19sChIJ0_Em_nLB1DsRaAn_dBP7Pbk?authuser=0&hl=en&rclk=1"
"Empress Mall","3.8","30,579","","","","","https://www.google.com/maps/place/Empress+Mall/data=!4m7!3m6!1s0x3bd4c0c6d62ef7f3:0x60cf5809c461d502!8m2!3d21.1482519!4d79.0932438!16s%2Fg%2F1hg4zwt8g!19sChIJ8_cu1sbA1DsRAtVhxAlYz2A?authuser=0&hl=en&rclk=1"
"Reliance Centro","4.1","12,081","088886 9762","Shopping mall  Poonam Mall Khasra No","91 VIP Rd","","https://www.google.com/maps/place/Reliance+Centro/data=!4m7!3m6!1s0x3bd4c0895d877da5:0x833dfd0e98068f13!8m2!3d21.137176!4d79.0688335!16s%2Fg%2F1261knhwl!19sChIJpX2HXYnA1DsRE48GmA79PYM?authuser=0&hl=en&rclk=1"
"Eternity Mall","4.1","16,281","","","","","https://www.google.com/maps/place/Eternity+Mall/data=!4m7!3m6!1s0x3bd4c19e9d03fbab:0x9ac139273bfacffc!8m2!3d21.1431738!4d79.080315!16s%2Fg%2F11f77c28dr!19sChIJq_sDnZ7B1DsR_M_6Oyc5wZo?authuser=0&hl=en&rclk=1"
"Orange City Mall","4.2","229","860 266 2010","Shopping mall  27 G/1 Sita Nagar RdOpen","","","https://www.google.com/maps/place/Orange+City+Mall/data=!4m7!3m6!1s0x3bd4bfb0c7811dd9:0xa40b6580aceba292!8m2!3d21.1040275!4d79.0672205!16s%2Fg%2F11hzc0zstd!19sChIJ2R2Bx7C_1DsRkqLrrIBlC6Q?authuser=0&hl=en&rclk=1"
"Fortune Mall","3.6","2,053","","","","","https://www.google.com/maps/place/Fortune+Mall/data=!4m7!3m6!1s0x3bd4c095b5986703:0x242c32ec3cb1fbee!8m2!3d21.1410858!4d79.0820211!16s%2Fg%2F125_swhbw!19sChIJA2eYtZXA1DsR7vuxPOwyLCQ?authuser=0&hl=en&rclk=1"
"Nagpur Mall","4.0","127","","","","","https://www.google.com/maps/place/Nagpur+Mall/data=!4m7!3m6!1s0x3bd4c0c123a4e595:0xb1ecf2bfebfad9ad!8m2!3d21.1487115!4d79.0915702!16s%2Fg%2F11f53h10w1!19sChIJleWkI8HA1DsRrdn667_y7LE?authuser=0&hl=en&rclk=1"
"Glocal Square Mall","4.3","135","","Shopping mall  Metro Interexchange 43VJ+3VF Station Glocal Square Mall Abhyankar Marg near gangour restaurant's opp haldiram that bat sitabuldiOpen","In","","https://www.google.com/maps/place/Glocal+Square+Mall/data=!4m7!3m6!1s0x3bd4c1bf31905b07:0xfe749a6f12ed96f5!8m2!3d21.1427324!4d79.0822488!16s%2Fg%2F11q3lt2qq2!19sChIJB1uQMb_B1DsR9ZbtEm-adP4?authuser=0&hl=en&rclk=1"
"Milton Mall","3.7","3,966","099701 8408","Shopping mall LaxmiBhuvan Building ChowkClosed ⋅ Opens 11 am","099701 84081  On","","https://www.google.com/maps/place/Milton+Mall/data=!4m7!3m6!1s0x3bd4c060e2424c2f:0x3238535c9bcea599!8m2!3d21.1402822!4d79.0607981!16s%2Fg%2F1q5bktgmg!19sChIJL0xC4mDA1DsRmaXOm1xTODI?authuser=0&hl=en&rclk=1"
"Satyam Mall","4.6","6,162","800 268 0888","Shopping mall  Juni Shukrawari Rd opposite bank of indiaClosed ⋅ Opens 10 am","1800 268 0888  In","","https://www.google.com/maps/place/Satyam+Mall/data=!4m7!3m6!1s0x3bd4c7ace283a24d:0x65c47f180d697b52!8m2!3d21.1307173!4d79.1130286!16s%2Fg%2F11grv3jbcv!19sChIJTaKD4qzH1DsRUntpDRh_xGU?authuser=0&hl=en&rclk=1"
