"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Hotel Nagpur Ashok","4.0","6,977","","","","","https://www.google.com/maps/place/Hotel+Nagpur+Ashok/data=!4m10!3m9!1s0x3bd4c07e29b66081:0xe1ff7f6028251a43!5m2!4m1!1i1!8m2!3d21.123385!4d79.064515!16s%2Fg%2F1tsyn78h!19sChIJgWC2KX7A1DsRQxolKGB__-E?authuser=0&hl=en&rclk=1"
"The Seven Hotel","4.4","381","","","","","https://www.google.com/maps/place/The+Seven+Hotel/data=!4m10!3m9!1s0x3bd4bf894e6c9709:0xf5239046f931e0e4!5m2!4m1!1i1!8m2!3d21.1184085!4d79.0648276!16s%2Fg%2F11khqwc3h1!19sChIJCZdsTom_1DsR5OAx-UaQI_U?authuser=0&hl=en&rclk=1"
"Octave Parkland Suites","4.1","563","","","","","https://www.google.com/maps/place/Octave+Parkland+Suites/data=!4m10!3m9!1s0x3bd4c15c3a6e96c5:0x3a9466a66a1cb7f2!5m2!4m1!1i1!8m2!3d21.1334768!4d79.0715785!16s%2Fg%2F11sysr0nm8!19sChIJxZZuOlzB1DsR8rccaqZmlDo?authuser=0&hl=en&rclk=1"
"Hotel Grey Oak","4.1","269","","","","","https://www.google.com/maps/place/Hotel+Grey+Oak/data=!4m10!3m9!1s0x3bd4c16971d16423:0xa8983a7c2c46c16c!5m2!4m1!1i1!8m2!3d21.1381425!4d79.0943566!16s%2Fg%2F11lgxf569f!19sChIJI2TRcWnB1DsRbMFGLHw6mKg?authuser=0&hl=en&rclk=1"
"MTDC HOTEL NAGPUR","4.0","857","","","","","https://www.google.com/maps/place/MTDC+HOTEL+NAGPUR/data=!4m10!3m9!1s0x3bd4c05891f8eb63:0x47085423d79d98eb!5m2!4m1!1i1!8m2!3d21.1513467!4d79.0636271!16s%2Fg%2F1tnhwt0c!19sChIJY-v4kVjA1DsR65id1yNUCEc?authuser=0&hl=en&rclk=1"
"The Travotel Suites","3.9","988","","","","","https://www.google.com/maps/place/The+Travotel+Suites/data=!4m10!3m9!1s0x3bd4bf0a10a4495b:0x9dcc5dbad77c926a!5m2!4m1!1i1!8m2!3d21.0912888!4d79.0654229!16s%2Fg%2F1q67przq5!19sChIJW0mkEAq_1DsRapJ817pdzJ0?authuser=0&hl=en&rclk=1"
"Hotel Maitrayee","4.5","616","","","","","https://www.google.com/maps/place/Hotel+Maitrayee/data=!4m10!3m9!1s0x3bd4c184410ef0ab:0xbaaf7d712e89f934!5m2!4m1!1i1!8m2!3d21.1322499!4d79.0535526!16s%2Fg%2F11p9l_4qmc!19sChIJq_AOQYTB1DsRNPmJLnF9r7o?authuser=0&hl=en&rclk=1"
"Uptown Hotel","3.8","400","","","","","https://www.google.com/maps/place/Uptown+Hotel/data=!4m10!3m9!1s0x3bd4c14756361b91:0x91d5ad111817ce8f!5m2!4m1!1i1!8m2!3d21.1638262!4d79.0793346!16s%2Fg%2F11rxpp1phz!19sChIJkRs2VkfB1DsRj84XGBGt1ZE?authuser=0&hl=en&rclk=1"
"Zip By Spree Hotels Orient","3.7","2,065","","","","","https://www.google.com/maps/place/Zip+By+Spree+Hotels+Orient/data=!4m10!3m9!1s0x3bd4c0bc623fcf55:0x3d8f3f55d58d83e7!5m2!4m1!1i1!8m2!3d21.1367191!4d79.0921507!16s%2Fg%2F11c0vm7f5c!19sChIJVc8_YrzA1DsR54ON1VU_jz0?authuser=0&hl=en&rclk=1"
"Treebo Trend Orient Grand","3.7","1,733","","","","","https://www.google.com/maps/place/Treebo+Trend+Orient+Grand/data=!4m10!3m9!1s0x3bd4c0b1a357b03d:0x1de0a454ae448d80!5m2!4m1!1i1!8m2!3d21.1363281!4d79.1022821!16s%2Fg%2F1z44yrfdj!19sChIJPbBXo7HA1DsRgI1ErlSk4B0?authuser=0&hl=en&rclk=1"
"Hotel Sun Star","4.4","1,182","","","","","https://www.google.com/maps/place/Hotel+Sun+Star/data=!4m10!3m9!1s0x3bd4c0951f6aba3d:0xa27b466b9368a156!5m2!4m1!1i1!8m2!3d21.1431735!4d79.0844574!16s%2Fg%2F11t43r9k4r!19sChIJPbpqH5XA1DsRVqFok2tGe6I?authuser=0&hl=en&rclk=1"
"SwagStay Hotel Ownhouse 181","4.9","484","","","181 4","","https://www.google.com/maps/place/SwagStay+Hotel+Ownhouse+181/data=!4m10!3m9!1s0x3bd4c1a8d152e453:0xa50729a583855f3a!5m2!4m1!1i1!8m2!3d21.142111!4d79.0955721!16s%2Fg%2F11vhqfyzqy!19sChIJU-RS0ajB1DsROl-Fg6UpB6U?authuser=0&hl=en&rclk=1"
"Hotel Signature Inn","4.3","609","","","","","https://www.google.com/maps/place/Hotel+Signature+Inn/data=!4m10!3m9!1s0x3bd4c71aee033a89:0xb12f741f02a1a63d!5m2!4m1!1i1!8m2!3d21.1493545!4d79.1140134!16s%2Fg%2F11fmzgsk29!19sChIJiToD7hrH1DsRPaahAh90L7E?authuser=0&hl=en&rclk=1"
"The Onyx","4.0","395","","","","","https://www.google.com/maps/place/The+Onyx/data=!4m10!3m9!1s0x3bd4bfff3f5dae7f:0x5ac722ff5a468743!5m2!4m1!1i1!8m2!3d21.0992911!4d79.066871!16s%2Fg%2F11nc9mydqk!19sChIJf65dP_-_1DsRQ4dGWv8ix1o?authuser=0&hl=en&rclk=1"
"The JK Hotel - Opp Railway Station","3.8","613","","","","","https://www.google.com/maps/place/The+JK+Hotel+-+Opp+Railway+Station/data=!4m10!3m9!1s0x3bd4c133c290e775:0xd6f90d77e0e83cbe!5m2!4m1!1i1!8m2!3d21.1569985!4d79.083175!16s%2Fg%2F11h11klkg_!19sChIJdeeQwjPB1DsRvjzo4HcN-dY?authuser=0&hl=en&rclk=1"
"Swagstay Hotel Avadh Nagpur","3.3","616","","","","","https://www.google.com/maps/place/Swagstay+Hotel+Avadh+Nagpur/data=!4m10!3m9!1s0x3bd4c095a27c6341:0x856ee05597a7dbaa!5m2!4m1!1i1!8m2!3d21.141399!4d79.085688!16s%2Fg%2F11b76g7pw6!19sChIJQWN8opXA1DsRqtunl1XgboU?authuser=0&hl=en&rclk=1"
"Super Hotel O 824367 THE VANTAGE INN","3.8","51","","","824367 THE VANTAGE INN 3","","https://www.google.com/maps/place/Super+Hotel+O+824367+THE+VANTAGE+INN/data=!4m10!3m9!1s0x3bd4c1431bfa0bdb:0x4ebda45b33fca037!5m2!4m1!1i1!8m2!3d21.1357274!4d79.0939141!16s%2Fg%2F11vwny4dx8!19sChIJ2wv6G0PB1DsRN6D8M1ukvU4?authuser=0&hl=en&rclk=1"
"HOTEL YATRI","3.8","482","","","","","https://www.google.com/maps/place/HOTEL+YATRI/data=!4m10!3m9!1s0x3bd4c1c1f1034cdb:0x8e8d6631988026e!5m2!4m1!1i1!8m2!3d21.139936!4d79.0947755!16s%2Fg%2F11fj3tdzb1!19sChIJ20wD8cHB1DsRbgKIGWPW6Ag?authuser=0&hl=en&rclk=1"
"Hotel Sunrise N Resorts","3.9","1,066","","","","","https://www.google.com/maps/place/Hotel+Sunrise+N+Resorts/data=!4m10!3m9!1s0x3bd4c3147d6c4b71:0xed2555aa3fa7d89e!5m2!4m1!1i1!8m2!3d21.280736!4d79.0842197!16s%2Fg%2F11bxc0rynp!19sChIJcUtsfRTD1DsRntinP6pVJe0?authuser=0&hl=en&rclk=1"
