"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"ORCHIDS The International School - CBSE School in Koradi Road Nagpur","4.4","267","088888 8899","CBSE School  Bokhara Road Railway Crossing Koradi RdClosed ⋅ Opens 9 am","088888 88999","https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwi63dyKt_CIAxUkpGYCHZAYKHkYABAAGgJzbQ&co=1&ase=2&gclid=Cj0KCQjw3vO3BhCqARIsAEWblcBZ82JrlDCuTrxrSgGHXn4TkkfklvSIeTWiLoj28yeCQvjd1S46naIaAt1SEALw_wcB&ohost=www.google.com&cid=CAESVeD2XaT3Nh8IAjaAiYLJdywTVE2UeG6r_5sIxXrmloWMNmnpi3cS1-uIP5Lf_4b52W8RUVaP-txT6YRSsTewB9_ijahvSZ04bqkhp3BjQIZhgH-6gIk&sig=AOD64_3rUb4qCnEGN3oJR5f_CSZmttsmpQ&adurl&q&ctype=99&nis=6","https://www.google.com/maps/place/ORCHIDS+The+International+School+-+CBSE+School+in+Koradi+Road+Nagpur/data=!4m7!3m6!1s0x3bd4c16546669319:0xc73fbabb92f98a65!8m2!3d21.2095686!4d79.0755457!16s%2Fg%2F1pp2vlmht!19sChIJGZNmRmXB1DsRZYr5kru6P8c?authuser=0&hl=en&rclk=1"
"Blossom School Nagpur--Best CBSE School--Top CBSE School--CBSE School","4.7","520","095112 8578","CBSE School  Bharatwada RdClosed ⋅ Opens 8:30 am","095112 85785","https://www.blossomschool.edu.in/","https://www.google.com/maps/place/Blossom+School+Nagpur--Best+CBSE+School--Top+CBSE+School--CBSE+School/data=!4m7!3m6!1s0x3bd4c6cc474999a3:0x3268e1aa50e0563a!8m2!3d21.1677653!4d79.1778901!16s%2Fg%2F1v3hyfnd!19sChIJo5lJR8zG1DsROlbgUKrhaDI?authuser=0&hl=en&rclk=1"
"Delhi Public School Kamptee Nagpur","4.1","281","096075 8888","CBSE School  Opp","11 Kms Milestone","http://dpsnagpur.edu.in/","https://www.google.com/maps/place/Delhi+Public+School+Kamptee+Nagpur/data=!4m7!3m6!1s0x3bd4c68e50bd5779:0xa4664595105b48e9!8m2!3d21.2135844!4d79.1599014!16s%2Fg%2F1tdqm342!19sChIJeVe9UI7G1DsR6UhbEJVFZqQ?authuser=0&hl=en&rclk=1"
"Global Indian International School - Best CBSE School in Nagpur","4.6","54","800 572 2810","CBSE School  Post Office Khadgaon Rd near Canara BankClosed ⋅ Opens 8 am","1800 572 2810","https://nagpur.globalindianschool.org/?utm_source=gmb&utm_medium=organic&utm_campaign=GMB_Traffic","https://www.google.com/maps/place/Global+Indian+International+School+-+Best+CBSE+School+in+Nagpur/data=!4m7!3m6!1s0x3bd4eb5e0dfdca7f:0xe17a174a0e351a99!8m2!3d21.1709244!4d78.978037!16s%2Fg%2F11kb72wcf4!19sChIJf8r9DV7r1DsRmRo1DkoXeuE?authuser=0&hl=en&rclk=1"
"Centre Point School Wardhaman Nagar - CBSE","4.7","763","","CBSE School Closed ⋅ Opens 9 am","080 6983 2163","https://centrepointschools.com/cbse-school-in-wardhaman-nagar.html?utm_source=google&utm_medium=organic&utm_id=gmb_listing","https://www.google.com/maps/place/Centre+Point+School+Wardhaman+Nagar+-+CBSE/data=!4m7!3m6!1s0x3bd4c774d9ccb58f:0xc7babe5d149171c0!8m2!3d21.1481382!4d79.151847!16s%2Fg%2F11b69jf15_!19sChIJj7XM2XTH1DsRwHGRFF2-usc?authuser=0&hl=en&rclk=1"
"Podar International School Nagpur Koradi (CBSE)","4.5","205","063664 3787","CBSE School  473 Godhani RoadClosed ⋅ Opens 8 am","063664 37872","https://www.podareducation.org/school/nagpurkoradi/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage_podar_school","https://www.google.com/maps/place/Podar+International+School+Nagpur+Koradi+%28CBSE%29/data=!4m7!3m6!1s0x3bd4c22d7e55d0a5:0xf52662614a4549f7!8m2!3d21.2255094!4d79.0618768!16s%2Fg%2F11g6qfx1ff!19sChIJpdBVfi3C1DsR90lFSmFiJvU?authuser=0&hl=en&rclk=1"
"Blossom School & Jr College Nagpur-- Top cbse school","4.8","252","098901 5832","CBSE School  Mankapur Ring RdClosed ⋅ Opens 8 am","098901 58323","http://www.blossomschool.net/","https://www.google.com/maps/place/Blossom+School+%26+Jr+College+Nagpur--+Top+cbse+school/data=!4m7!3m6!1s0x3bd4c77fc3401ad3:0xe46fc08c6448af74!8m2!3d21.1861088!4d79.1138394!16s%2Fg%2F11gr61jbmw!19sChIJ0xpAw3_H1DsRdK9IZIzAb-Q?authuser=0&hl=en&rclk=1"
"St. Xavier’s High School, Hiwri Nagar, Nagpur - CBSE","4.2","283","098906 1780","International school  hiwri nagar Plot No3372/A opp Vyenkatesh NagarClosed ⋅ Opens 7:30 am","098906 17805","https://www.ryangroup.org/ryaninternational/cbse/nagpur/st-xaviers-high-school-hiwri-nagar?utm_source=Google&utm_medium=GMB&utm_campaign=Ryan+Group+Hiwri+Nagar","https://www.google.com/maps/place/St.+Xavier%E2%80%99s+High+School,+Hiwri+Nagar,+Nagpur+-+CBSE/data=!4m7!3m6!1s0x3bd4c7b29a6df683:0x54b9db3ed137c1ad!8m2!3d21.1401121!4d79.135375!16s%2Fg%2F1td9c6l9!19sChIJg_ZtmrLH1DsRrcE30T7buVQ?authuser=0&hl=en&rclk=1"
"Podar International School Nagpur Katol (CBSE)","4.8","327","074208 5587","CBSE School  Katol Road near Asaram Bapu AshramClosed ⋅ Opens 8 am","074208 55872","https://www.podareducation.org/school/nagpurkatol/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage_podar_school","https://www.google.com/maps/place/Podar+International+School+Nagpur+Katol+%28CBSE%29/data=!4m7!3m6!1s0x3bd4e9809c32aae5:0x90b68061c9991edd!8m2!3d21.208609!4d78.9779153!16s%2Fg%2F11b6v7j4vz!19sChIJ5aoynIDp1DsR3R6ZyWGAtpA?authuser=0&hl=en&rclk=1"
"St. John's Public School (CBSE)","4.6","30","712 254 3998","School  535Q+932 Khalasi Ln Near StJohn's School","0712 254 3998","https://www.stjohnspublicschool.in/","https://www.google.com/maps/place/St.+John%27s+Public+School+%28CBSE%29/data=!4m7!3m6!1s0x3bd4c0dd67a820d5:0xd87e2f0ada544dc1!8m2!3d21.1583848!4d79.0876307!16s%2Fg%2F11b5pj7tp6!19sChIJ1SCoZ93A1DsRwU1U2govftg?authuser=0&hl=en&rclk=1"
"ORCHIDS The International School - CBSE School in Koradi Road Nagpur","4.4","267","088888 8899","CBSE School  Bokhara Road Railway Crossing Koradi RdClosed ⋅ Opens 9 am","088888 88999","https://www.orchidsinternationalschool.com/nagpur-campuses/koradi-road/?utm_source=googlemaps&utm_medium=website&utm_campaign=maps-listing","https://www.google.com/maps/place/ORCHIDS+The+International+School+-+CBSE+School+in+Koradi+Road+Nagpur/data=!4m7!3m6!1s0x3bd4c16546669319:0xc73fbabb92f98a65!8m2!3d21.2095686!4d79.0755457!16s%2Fg%2F1pp2vlmht!19sChIJGZNmRmXB1DsRZYr5kru6P8c?authuser=0&hl=en&rclk=1"
"Seventh-Day Adventist Higher Secondary School Nagpur","4.4","130","712 252 9757","High school  536G+","8570712 252 9757","","https://www.google.com/maps/place/Seventh-Day+Adventist+Higher+Secondary+School+Nagpur/data=!4m7!3m6!1s0x3bd4c0fb677517f3:0xb464a25e79516ac0!8m2!3d21.1607784!4d79.0754092!16s%2Fg%2F1tdvssbf!19sChIJ8xd1Z_vA1DsRwGpReV6iZLQ?authuser=0&hl=en&rclk=1"
"St. Xaviers High School, Hingna Road, MIDC, Nagpur - CBSE","4.0","231","","International school  Plot No X21 Bansi Nagar Metro Station 21 Hingna Rd opp MIDC OfficeClosed ⋅ Opens 9 am","07104 234 635","https://www.ryangroup.org/ryaninternational/cbse/nagpur/xaviers-high-school-hingna-road-midc","https://www.google.com/maps/place/St.+Xaviers+High+School,+Hingna+Road,+MIDC,+Nagpur+-+CBSE/data=!4m7!3m6!1s0x3bd49528b1ee819b:0xa2615501baa8ace1!8m2!3d21.1162208!4d79.0116239!16s%2Fg%2F11c0vy0yng!19sChIJm4HusSiV1DsR4ayougFVYaI?authuser=0&hl=en&rclk=1"
"Central India Public School(CIPS)","4.8","254","092250 6909","CBSE School  Next to Baradwari Lake Kapsi (Khurd) Bhandara Road near Pardi NakaClosed ⋅ Opens 9 am","092250 69095","http://www.cipsnagpur.edu.in/","https://www.google.com/maps/place/Central+India+Public+School%28CIPS%29/data=!4m7!3m6!1s0x3bd4c79f5891c067:0xf4d29f61199eaa23!8m2!3d21.1509232!4d79.1798874!16s%2Fg%2F11b7lm4_vp!19sChIJZ8CRWJ_H1DsRI6qeGWGf0vQ?authuser=0&hl=en&rclk=1"
"St John's High School","4.4","241","712 253 2640","State Board School  535P+J54 Guru Teg Bahadur MargClosed ⋅ Opens 7 am","0712 253 2640","http://stjohnhighschoolngp.com/","https://www.google.com/maps/place/St+John%27s+High+School/data=!4m7!3m6!1s0x3bd4c0e7a2cb2101:0xc126c95886caf3be!8m2!3d21.1590019!4d79.0854412!16s%2Fm%2F0h1hwlq!19sChIJASHLoufA1DsRvvPKhljJJsE?authuser=0&hl=en&rclk=1"
"Centre Point School Katol Road - CBSE","4.6","547","","CBSE School  A-1Closed ⋅ Opens 7:30 am","080 6983 2161","https://centrepointschools.com/cbse-school-in-katol-road.html?utm_source=google&utm_medium=organic&utm_id=gmb_listing","https://www.google.com/maps/place/Centre+Point+School+Katol+Road+-+CBSE/data=!4m7!3m6!1s0x3bd4c101ca0f13f3:0x75ee5703debe43e3!8m2!3d21.168968!4d79.0678794!16s%2Fg%2F11bwny2j_6!19sChIJ8xMPygHB1DsR40O-3gNX7nU?authuser=0&hl=en&rclk=1"
"Saraswati Vidyalaya","4.4","310","712 226 1079","School  43P6+56J W High Ct RdOpen","","https://saraswatividyalayanagpur.in/","https://www.google.com/maps/place/Saraswati+Vidyalaya/data=!4m7!3m6!1s0x3bd4c0639a0fa2ab:0xed09a30ed0624bd7!8m2!3d21.1354732!4d79.0605058!16s%2Fg%2F1wk6y6tj!19sChIJq6IPmmPA1DsR10ti0A6jCe0?authuser=0&hl=en&rclk=1"
"Modern School, Nagpur","4.1","191","097667 7861","School  Koradi Rd Opp Sunder Biscuit FactoryClosed ⋅ Opens 7:30 am","097667 78611","http://modernschoolnagpur.edu.in/","https://www.google.com/maps/place/Modern+School,+Nagpur/data=!4m7!3m6!1s0x3bd4c3dafc48005d:0x4eba456580f7ae1d!8m2!3d21.223733!4d79.078536!16s%2Fm%2F0ch11ht!19sChIJXQBI_NrD1DsRHa73gGVFuk4?authuser=0&hl=en&rclk=1"
"MKH SANCHETI PUBLIC SCHOOL (CBSE)","4.3","304","098814 0442","CBSE School  50/350/","7 Mouza Gotad Panjri","http://www.mkhsancheti.com/","https://www.google.com/maps/place/MKH+SANCHETI+PUBLIC+SCHOOL+%28CBSE%29/data=!4m7!3m6!1s0x3bd4bf0dca17af35:0xbd9c5522372192c2!8m2!3d21.0657986!4d79.0887414!16s%2Fg%2F11b5wrrnjs!19sChIJNa8Xyg2_1DsRwpIhNyJVnL0?authuser=0&hl=en&rclk=1"
"The Swaminarayan School Wardhamannagar","4.5","165","077700 1283","CBSE School  245 Central AveClosed ⋅ Opens 9 am","077700 12831","http://bapsschoolngp.org/","https://www.google.com/maps/place/The+Swaminarayan+School+Wardhamannagar/data=!4m7!3m6!1s0x3bd4c7771bc207ef:0x7532308522de4d77!8m2!3d21.1497064!4d79.1431906!16s%2Fg%2F11f61f37d8!19sChIJ7wfCG3fH1DsRd03eIoUwMnU?authuser=0&hl=en&rclk=1"
"School of Scholars","4.5","261","800 266 0999","CBSE School Closed ⋅ Opens 9 am","1800 266 0999","https://schoolofscholars.edu.in/atrey/","https://www.google.com/maps/place/School+of+Scholars/data=!4m7!3m6!1s0x3bd4bf861a0e9c9f:0xaaa9dd0bab9406db!8m2!3d21.1147993!4d79.0612885!16s%2Fg%2F1tppqf08!19sChIJn5wOGoa_1DsR2waUqwvdqao?authuser=0&hl=en&rclk=1"
"Sanjuba High School C.B.S.E.","4.3","138","712 274 5615","CBSE School  Saraswati Mata Mandir Gohni Sim Umred Road Bahadura RdClosed ⋅ Opens 12 pm","0712 274 5615","","https://www.google.com/maps/place/Sanjuba+High+School+C.B.S.E./data=!4m7!3m6!1s0x3bd4b8f398a1d3e9:0xd312fbc7870f7739!8m2!3d21.098573!4d79.1481548!16s%2Fg%2F1q6cv12k2!19sChIJ6dOhmPO41DsROXcPh8f7EtM?authuser=0&hl=en&rclk=1"
"Heritage International School","4.8","196","083906 6870","School S-6Closed ⋅ Opens 9 am","083906 68705","http://www.hisnagpur.com/","https://www.google.com/maps/place/Heritage+International+School/data=!4m7!3m6!1s0x3bd4c197887fb689:0x910a9a5cc2090d49!8m2!3d21.1921029!4d79.0516699!16s%2Fg%2F11c744n_tk!19sChIJibZ_iJfB1DsRSQ0JwlyaCpE?authuser=0&hl=en&rclk=1"
"Montfort School","4.7","34","099750 4784","School  293 Wardha RdClosed ⋅ Opens 7:30 am","099750 47841","https://www.montfortnagpur.ac.in/","https://www.google.com/maps/place/Montfort+School/data=!4m7!3m6!1s0x3bd4c09399374da1:0x5f1b7c3e71e683cb!8m2!3d21.1410453!4d79.0805541!16s%2Fg%2F11j007y7q7!19sChIJoU03mZPA1DsRy4PmcT58G18?authuser=0&hl=en&rclk=1"
"Mount Litera Zee School - Nagpur, Maharashtra","4.4","143","084460 6005","CBSE School ","199 Sangal Estate","http://www.mlzsnagpur.edu.in/","https://www.google.com/maps/place/Mount+Litera+Zee+School+-+Nagpur,+Maharashtra/data=!4m7!3m6!1s0x3bd4c6f30dfac5b3:0xcbbe8932ec8b5731!8m2!3d21.20908!4d79.1385478!16s%2Fg%2F1q5bw7psb!19sChIJs8X6DfPG1DsRMVeL7DKJvss?authuser=0&hl=en&rclk=1"
"The Royal Gondwana Public School, Nagpur","4.4","154","074477 7760","Public educational institution  Shankarpur Khapri Wardha Road Gotadpanjari Vela Hari RdClosed ⋅ Opens 8 am","074477 77605","https://royalgpschool.edu.in/","https://www.google.com/maps/place/The+Royal+Gondwana+Public+School,+Nagpur/data=!4m7!3m6!1s0x3bd4be403d82c82d:0xbcb424428528abed!8m2!3d21.0535766!4d79.07895!16s%2Fg%2F1hc16bdv9!19sChIJLciCPUC-1DsR7asohUIktLw?authuser=0&hl=en&rclk=1"
"St Joseph Convent School","4.4","189","712 252 5430","School  534M+3GG Kingsway Rd Opp Kasturchand Park GroundClosed ⋅ Opens 9 am","0712 252 5430","http://www.stjosephsngp.in/","https://www.google.com/maps/place/St+Joseph+Convent+School/data=!4m7!3m6!1s0x3bd4c0c25eaaaaab:0x9093fafcd93e3784!8m2!3d21.1551985!4d79.0838385!16s%2Fg%2F1tdc87pv!19sChIJq6qqXsLA1DsRhDc-2fz6k5A?authuser=0&hl=en&rclk=1"
"Little Pearls Nursery School","4.9","651","712 268 1899","School Plot No 09 Bhandara RdClosed ⋅ Opens 9:30 am","0712 268 1899","http://www.cipsnagpur.edu.in/","https://www.google.com/maps/place/Little+Pearls+Nursery+School/data=!4m7!3m6!1s0x3bd4c714ea155555:0x7a83ec91ceef54be!8m2!3d21.151261!4d79.1356174!16s%2Fg%2F1tfd5f2m!19sChIJVVUV6hTH1DsRvlTvzpHsg3o?authuser=0&hl=en&rclk=1"
"The Achievers School","4.8","141","096998 3793","CBSE School  Waroda Village Outer Ring RoadClosed ⋅ Opens 8:30 am","096998 37936","https://theachieversschool.com/","https://www.google.com/maps/place/The+Achievers+School/data=!4m7!3m6!1s0x3bd4bc2805052499:0x1bdad14b2b881628!8m2!3d21.0260064!4d79.0752742!16s%2Fg%2F119wcnc33!19sChIJmSQFBSi81DsRKBaIK0vR2hs?authuser=0&hl=en&rclk=1"
"Centre Point School Amravati Road Bypass Dabha - CBSE","4.4","547","","CBSE School  Bhisen Khori Dabha Amravati RdClosed ⋅ Opens 8:15 am","080 6983 2160","https://centrepointschools.com/cbse-school-in-amravati-road.html?utm_source=google&utm_medium=organic&utm_id=gmb_listing","https://www.google.com/maps/place/Centre+Point+School+Amravati+Road+Bypass+Dabha+-+CBSE/data=!4m7!3m6!1s0x3bd4c1d5fc1e1e33:0x1c2d6abb70fdf970!8m2!3d21.1700391!4d79.0194182!16s%2Fg%2F1tdckf54!19sChIJMx4e_NXB1DsRcPn9cLtqLRw?authuser=0&hl=en&rclk=1"
"THE JAIN INTERNATIONAL SCHOOL","4.2","244","083907 0191","International school  SB Jain Institute of Technology Management & Research Near Katol RoadClosed ⋅ Opens 8 am","083907 01917","http://www.jaininternationalnagpur.edu.in/","https://www.google.com/maps/place/THE+JAIN+INTERNATIONAL+SCHOOL/data=!4m7!3m6!1s0x3bd4c1aec70ea37b:0x2307e2689267fc02!8m2!3d21.2142957!4d78.9743713!16s%2Fg%2F1tjtgqx9!19sChIJe6MOx67B1DsRAvxnkmjiByM?authuser=0&hl=en&rclk=1"
"Delhi Public School Lava Nagpur","4.5","208","089295 9419","CBSE School  DPS Lava off Dhabha Ring RoadClosed ⋅ Opens 8:30 am","089295 94190","http://www.dpsnagpurcity.com/","https://www.google.com/maps/place/Delhi+Public+School+Lava+Nagpur/data=!4m7!3m6!1s0x3bd4ea5d2157b0e7:0xf42cef70bf15fe75!8m2!3d21.1736246!4d78.9942404!16s%2Fg%2F11c38gk2z2!19sChIJ57BXIV3q1DsRdf4Vv3DvLPQ?authuser=0&hl=en&rclk=1"
