"Title","Rating","Reviews","Phone","Industry","Address","Website","Google Maps Link"
"Kasturchand Park","4.1","6,350","","Tourist attraction  44 Kingsway Rd near Kasturchand ParkGathering place with frequent eventsOpen","On","","https://www.google.com/maps/place/Kasturchand+Park/data=!4m7!3m6!1s0x3bd4c0e8dd737dcd:0xd337f6abbcee0d6a!8m2!3d21.1538632!4d79.0825114!16s%2Fg%2F1thhhzh7!19sChIJzX1z3ejA1DsRag3uvKv2N9M?authuser=0&hl=en&rclk=1"
"Japanese Garden","4.2","6,510","","","","","https://www.google.com/maps/place/Japanese+Garden/data=!4m7!3m6!1s0x3bd4c0ff46872b0f:0xb0834f329845362b!8m2!3d21.1621487!4d79.0657414!16s%2Fg%2F1ts3d1zm!19sChIJDyuHRv_A1DsRKzZFmDJPg7A?authuser=0&hl=en&rclk=1"
"Ajni Clock Tower","4.1","137","","Tourist attraction 43CF+574Open","","","https://www.google.com/maps/place/Ajni+Clock+Tower/data=!4m7!3m6!1s0x3bd4bf7d7e74102b:0xe20fe0345e506cb8!8m2!3d21.1203899!4d79.0731956!16s%2Fg%2F11gcj1k7s0!19sChIJKxB0fn2_1DsRuGxQXjTgD-I?authuser=0&hl=en&rclk=1"
"Maharaj Bagh Zoo","3.8","14,326","","","","","https://www.google.com/maps/place/Maharaj+Bagh+Zoo/data=!4m7!3m6!1s0x3bd4c08d4c0c4c5d:0x3afe812572a2d88a!8m2!3d21.1437085!4d79.0740832!16s%2Fm%2F0462dql!19sChIJXUwMTI3A1DsRitiiciWB_jo?authuser=0&hl=en&rclk=1"
"Nagpur Selfie Point (My ️love My Nagpur)","4.4","386","","Tourist attraction Open","","","https://www.google.com/maps/place/Nagpur+Selfie+Point+%28My+%EF%B8%8Flove+My+Nagpur%29/data=!4m7!3m6!1s0x3bd4c144ae328a17:0x1240e19455dc929a!8m2!3d21.1249516!4d79.0442333!16s%2Fg%2F11j2ymwr_r!19sChIJF4oyrkTB1DsRmpLcVZThQBI?authuser=0&hl=en&rclk=1"
"Futala Fountain","4.3","1,401","","","","","https://www.google.com/maps/place/Futala+Fountain/data=!4m7!3m6!1s0x3bd4c131ad17bb75:0x7e415a8ae64fd541!8m2!3d21.1533104!4d79.0448562!16s%2Fg%2F11t6xn_8gp!19sChIJdbsXrTHB1DsRQdVP5opaQX4?authuser=0&hl=en&rclk=1"
"Walkers Street Seminary Hills","4.6","712","","","","","https://www.google.com/maps/place/Walkers+Street+Seminary+Hills/data=!4m7!3m6!1s0x3bd4c152ba4bc671:0x444dfb0cf3a0a7f1!8m2!3d21.1576356!4d79.0621572!16s%2Fg%2F11kwdk0247!19sChIJccZLulLB1DsR8aeg8wz7TUQ?authuser=0&hl=en&rclk=1"
"Ambazari Lake","4.3","153","","","","","https://www.google.com/maps/place/Ambazari+Lake/data=!4m7!3m6!1s0x3bd4c14d851fc701:0xbadddd64b997c2e2!8m2!3d21.1297471!4d79.0455687!16s%2Fg%2F11pkkq7pdl!19sChIJAccfhU3B1DsR4sKXuWTd3bo?authuser=0&hl=en&rclk=1"
"Ambazari Garden","4.1","9,232","","","","","https://www.google.com/maps/place/Ambazari+Garden/data=!4m7!3m6!1s0x3bd4c06c57e0b3f7:0xdee77dff07bb0ad6!8m2!3d21.1337375!4d79.0443775!16s%2Fg%2F1tm8j0l_!19sChIJ97PgV2zA1DsR1gq7B_99594?authuser=0&hl=en&rclk=1"
"Gandhi Sagar Lake Floating Garden","4.0","2,230","","","","","https://www.google.com/maps/place/Gandhi+Sagar+Lake+Floating+Garden/data=!4m7!3m6!1s0x3bd4c0c79bb046b7:0x2dc286ff823ec7b5!8m2!3d21.1467836!4d79.0988095!16s%2Fg%2F1q64dbvbq!19sChIJt0awm8fA1DsRtcc-gv-Gwi0?authuser=0&hl=en&rclk=1"
